Ticker,2023_MarketCap,Market_Cap_Cat,2023_PE,Gsector,Avg_PE_Gsector,2020_NI,2021_NI,2022_NI,2023_NI,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow
A,40160256000,large-cap,22.465572,Healthcare,9.390814083247596,719000000.0,1210000000.0,1254000000.0,1240000000.0,68.2893,3.6364,-1.1164
AA,6309703680,mid-cap,15.480176,Basic Materials,12.4010476771875,-170000000.0,429000000.0,-123000000.0,-651000000.0,-352.3529,-128.6713,429.2683
AAL,8863775744,mid-cap,4.2087226,Industrials,25.108453586713043,-8885000000.0,-1993000000.0,127000000.0,822000000.0,-77.5689,-106.3723,547.2441
AAME,38368564,micro-cap,,,,12169000.0,4281000.0,1525000.0,,-64.8204,-64.3775,
AAN,211622208,micro-cap,10.161764,Industrials,25.108453586713043,-265912000.0,109934000.0,-5280000.0,2823000.0,-141.3422,-104.8029,-153.4659
AAOI,378221312,small-cap,11.321839,Technology,16.07681251396923,-58452000.0,-54162000.0,-66397000.0,-56048000.0,-7.3394,22.5896,-15.5865
AAON,7724788736,mid-cap,32.112625,Industrials,25.108453586713043,79009000.0,58758000.0,100376000.0,177623000.0,-25.6313,70.8295,76.9576
AAP,4350301696,mid-cap,16.400002,Consumer Cyclical,14.242674374152823,493021000.0,596615000.0,464402000.0,29735000.0,21.0121,-22.1605,-93.5971
AAPL,2630218678272,mega-cap,23.8892,Technology,16.07681251396923,57411000000.0,94680000000.0,99803000000.0,96995000000.0,64.9161,5.4109,-2.8135
AAT,1645583232,small-cap,29.246574,Real Estate,15.224610275438597,35588000.0,36593000.0,55877000.0,64690000.0,2.824,52.6986,15.7721
ABBV,287978520576,mega-cap,13.463576,Healthcare,9.390814083247596,4616000000.0,11542000000.0,11836000000.0,4863000000.0,150.0433,2.5472,-58.9135
ABCB,3281594112,mid-cap,9.709612,Financial Services,12.44247299184896,261988000.0,376913000.0,346540000.0,269105000.0,43.8665,-8.0584,-22.3452
ABEO,113249696,micro-cap,-2.1789472,Healthcare,9.390814083247596,-84234000.0,-84936000.0,-39696000.0,-54188000.0,0.8334,-53.2636,36.5075
ABG,4241003520,mid-cap,6.740622,Consumer Cyclical,14.242674374152823,254400000.0,532400000.0,997300000.0,602500000.0,109.2767,87.3216,-39.5869
ABIO,50608840,micro-cap,-0.3965909,Healthcare,9.390814083247596,-9738000.0,-19322000.0,-9926000.0,-5339000.0,98.4186,-48.6285,-46.212
ABM,2765838592,mid-cap,12.071824,Industrials,25.108453586713043,300000.0,126300000.0,230400000.0,251300000.0,42000.0,82.4228,9.0712
ABMD,17180649472,large-cap,,,,,225525000.0,136505000.0,,,-39.4723,
ABR,2430669056,mid-cap,7.502924,Real Estate,15.224610275438597,170949000.0,339300000.0,325783000.0,371434000.0,98.4802,-3.9838,14.0127
ABT,183877025792,large-cap,20.616732,Healthcare,9.390814083247596,4495000000.0,7071000000.0,6933000000.0,5723000000.0,57.3081,-1.9516,-17.4528
AC,695666176,small-cap,12.544403,Financial Services,12.44247299184896,18816000.0,59203000.0,-48907000.0,37451000.0,214.6418,-182.609,-176.576
ACA,3691667968,mid-cap,19.392857,Industrials,25.108453586713043,106600000.0,69600000.0,245800000.0,159200000.0,-34.7092,253.1609,-35.2319
ACAD,2760542208,mid-cap,13.261904,Healthcare,9.390814083247596,-281584000.0,-167870000.0,-215975000.0,-61286000.0,-40.3837,28.6561,-71.6236
ACCO,457554432,small-cap,3.8560002,Industrials,25.108453586713043,62000000.0,101900000.0,-13200000.0,-21800000.0,64.3548,-112.9539,65.1515
