Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
A,68.2893,3.6364,-1.1164,22.831148
AA,-352.3529,-128.6713,429.2683,15.792951
AAL,-77.5689,-106.3723,547.2441,4.3128037
AAME,-64.8204,-64.3775,,
AAN,-141.3422,-104.8029,-153.4659,10.308824
AAOI,-7.3394,22.5896,-15.5865,11.614942
AAON,-25.6313,70.8295,76.9576,32.440273
AAP,21.0121,-22.1605,-93.5971,16.60899
AAPL,64.9161,5.4109,-2.8135,26.205706
AAT,2.824,52.6986,15.7721,29.643833
ABBV,150.0433,2.5472,-58.9135,13.412252
ABCB,43.8665,-8.0584,-22.3452,9.844581
ABEO,0.8334,-53.2636,36.5075,-2.0078948
ABG,109.2767,87.3216,-39.5869,6.846104
ABIO,98.4186,-48.6285,-46.212,-0.40292045
ABM,42000.0,82.4228,9.0712,12.160221
ABMD,,-39.4723,,60.768738
ABR,98.4802,-3.9838,14.0127,7.5847955
ABT,57.3081,-1.9516,-17.4528,20.723736
AC,214.6418,-182.609,-176.576,12.413129
ACA,-34.7092,253.1609,-35.2319,19.823978
ACAD,-40.3837,28.6561,-71.6236,13.547619
ACCO,64.3548,-112.9539,65.1515,3.9
ACGL,53.4662,-31.5716,201.0163,10.699883
ACHC,-128.3627,43.2785,-107.9326,18.382133
ACHV,125.0645,27.7449,-29.5986,-4.894445
ACIW,75.8753,11.2574,-14.5368,20.582808
ACLS,97.3711,85.5844,34.5119,12.489311
ACM,-192.9254,79.3521,-82.1861,18.636364
ACMR,101.049,3.9887,97.0023,14.322107
ACN,15.642,16.4278,-0.0816,23.021343
ACNB,51.3211,28.4472,-11.3672,9.374914
ACOR,4.3778,-36.5912,283.6003,-0.6885417
ACRE,176.8315,-50.736,-230.4919,8.740506
ACRS,78.1143,-4.3548,1.81,-1.4878049
ACTG,36.5885,-183.8254,-153.6201,8.431034
ACU,68.6143,-77.7765,486.3108,15.772201
ADBE,-8.327,-1.3687,14.1295,24.78534
ADC,33.8057,24.6694,11.4946,30.865591
ADI,13.898,97.6782,20.5932,26.858652
ADM,52.8781,60.2067,-19.7465,10.247369
ADMA,-5.4134,-8.017,-57.1513,13.21
ADNT,-302.5594,-110.8303,-270.8333,7.5797467
ADP,5.3517,13.4847,15.7042,24.39717
ADSK,,-58.8576,65.5936,23.87157
ADT,-46.0892,-138.9247,249.0114,7.6588235
ADTN,-463.1203,-76.41,13041.2862,11.684211
ADUS,36.1965,1.9922,35.8305,17.815588
ADVM,23.8565,6.1811,-24.1827,-1.9060775
ADXS,33.5302,-5.5671,26.462,-0.9109589
AE,1094.7739,-70.6679,-93.9203,-93.59376
AEE,13.6625,8.4848,7.2626,15.05204
AEHR,-27.6588,-566.2062,54.0423,23.367926
AEIS,0.0453,48.1861,-35.7488,16.79376
AEL,-17.6387,247.2223,-89.0361,7.974468
AEMD,,32.0715,15.4923,-0.5209125
AEO,,-300.5165,-70.1794,12.800518
AEP,13.0903,-7.2706,-4.2952,14.649328
AES,-989.1304,33.4963,-145.6044,8.545895
AFG,172.541,-54.9875,-5.1225,10.641005
AFL,-11.4483,4.4198,5.455,12.200828
AGCO,110.0211,-0.825,31.6772,9.164547
AGE,-20.1565,20.5994,41.493,
AGEN,-86.7749,819.8111,11.672,-0.9163439
AGIO,-590.1839,-114.445,51.8924,-5.6235147
AGM,25.2568,30.9026,12.2704,10.300925
AGNC,-381.5789,-258.8785,-113.0252,4.628191
AGO,7.4586,-68.1234,495.9677,11.50074
AGR,21.6867,24.611,-10.7832,15.136929
AGRX,37.0548,-64.2422,-43.0781,0.3890909
AGS,-73.5623,-64.4028,-105.3267,18.122448
AGX,,60.3455,-13.4557,13.869955
AGYS,,-130.8462,125.1003,66.338585
AHH,-24.904,241.4352,-88.9133,-62.29471
AHT,-50.907,-47.6321,27.6517,-0.31161457
AIG,-274.4112,-1.3504,-64.3786,9.560203
AIN,20.1737,-19.1732,16.0377,18.006369
AINC,-95.3264,-136.7355,-226.9336,0.7156662
AIR,713.6364,119.8324,14.6125,16.781403
AIRG,207.6243,-14.1568,43.527,16.164375
AIRI,48.4489,-166.134,98.0483,-12.423684
AIRT,,-250.1718,-212.5092,
AIT,502.1005,77.8249,34.7009,18.0572
AIV,17.2386,-1381.3198,-319.4702,-46.82353
AIZ,208.9383,-79.6886,132.2849,10.323449
AJG,10.7474,22.8716,-12.9869,20.61474
AJX,46.8803,-135.8643,213.5767,7.866667
AKAM,16.98,-19.6381,4.5748,13.800819
AKBA,-26.7167,-66.5894,-44.8931,-3.953125
AKR,-362.344,-250.5223,-156.0671,48.657146
AKTS,22.1804,33.6783,7.6745,-1.6764705
AL,-15.4247,-122.221,-733.4742,9.706215
ALB,-67.0879,2074.9596,-41.5025,13.532022
ALCO,47.3206,-64.2589,-85.2717,60.170216
ALDX,53.8496,7.3531,-39.4716,-13.862069
ALE,-2.8703,11.8794,30.5335,14.2139435
ALEC,-80.9024,266.952,-2.1896,-2.9774013
ALEX,532.1429,-242.9379,-158.8933,21.946665
ALG,38.8226,27.021,33.5855,14.93988
ALGN,-56.5277,-53.1653,23.088,26.912605
ALGT,-182.4871,-98.3583,4617.0477,6.77445
ALIM,-18.112,314.1583,11.1835,18.4625
ALK,-136.1027,-87.8661,,7.0023847
ALKS,-56.5501,228.5661,-324.7828,9.562016
ALL,-71.0545,-179.8637,-85.4151,9.984652
ALLE,53.6748,-5.176,17.9913,16.342556
ALLK,75.8275,18.5622,-41.9597,-1.5071428
ALLO,-42.4583,86.9883,-3.8626,-1.803125
ALLY,182.0276,-43.9869,-40.4901,7.206276
ALNY,-0.6358,32.6365,-61.0803,-83.49716
ALOT,,400.7009,-58.6094,49.857147
ALPN,80.1467,14.7597,-44.2817,-34.208996
ALRM,-32.8748,7.8054,43.8514,29.588497
ALSN,47.8261,20.1357,-100.0,8.632912
ALT,97.9632,-12.748,4.4078,-3.5783782
