Ticker,2023_PE,Gsector
A,22.831148,Healthcare
AA,15.792951,Basic Materials
AAL,4.3128037,Industrials
AAME,,Financial Services
AAN,10.308824,Industrials
AAOI,11.614942,Technology
AAON,32.440273,Industrials
AAP,16.60899,Consumer Cyclical
AAPL,26.205706,Technology
AAT,29.643833,Real Estate
ABBV,13.412252,Healthcare
ABCB,9.844581,Financial Services
ABEO,-2.0078948,Healthcare
ABG,6.846104,Consumer Cyclical
ABIO,-0.40292045,Healthcare
ABM,12.160221,Industrials
ABMD,60.768738,
ABR,7.5847955,Real Estate
ABT,20.723736,Healthcare
AC,12.413129,Financial Services
ACA,19.823978,Industrials
ACAD,13.547619,Healthcare
ACCO,3.9,Industrials
ACGL,10.699883,Financial Services
ACHC,18.382133,Healthcare
ACHV,-4.894445,Healthcare
ACIW,20.582808,Technology
ACLS,12.489311,Technology
ACM,18.636364,Industrials
ACMR,14.322107,Technology
ACN,23.021343,Technology
ACNB,9.374914,Financial Services
ACOR,-0.6885417,Healthcare
ACRE,8.740506,Real Estate
ACRS,-1.4878049,Healthcare
ACTG,8.431034,Industrials
ACU,15.772201,Consumer Defensive
ADBE,24.78534,Technology
ADC,30.865591,Real Estate
ADI,26.858652,Technology
ADM,10.247369,Consumer Defensive
ADMA,13.21,Healthcare
ADNT,7.5797467,Consumer Cyclical
ADP,24.39717,Industrials
ADSK,23.87157,Technology
ADT,7.6588235,Industrials
ADTN,11.684211,Technology
ADUS,17.815588,Healthcare
ADVM,-1.9060775,Healthcare
ADXS,-0.9109589,Healthcare
AE,-93.59376,Energy
AEE,15.05204,Utilities
AEHR,23.367926,Technology
AEIS,16.79376,Industrials
AEL,7.974468,Financial Services
AEMD,-0.5209125,Healthcare
AEO,12.800518,Consumer Cyclical
AEP,14.649328,Utilities
AES,8.545895,Utilities
AFG,10.641005,Financial Services
AFL,12.200828,Financial Services
AGCO,9.164547,Industrials
AGE,,Healthcare
AGEN,-0.9163439,Healthcare
AGIO,-5.6235147,Healthcare
AGM,10.300925,Financial Services
AGNC,4.628191,Real Estate
AGO,11.50074,Financial Services
AGR,15.136929,Utilities
AGRX,0.3890909,Healthcare
AGS,18.122448,Consumer Cyclical
AGX,13.869955,Industrials
AGYS,66.338585,Technology
AHH,-62.29471,Real Estate
AHT,-0.31161457,Real Estate
