Ticker,2020_NI,2021_NI,2022_NI,2023_NI,2020_Div,2021_Div,2022_Div,2023_Div,2020_2021_Div_Grow,2021_2022_Div_Grow,2022_2023_Div_Grow
A,719000000.0,1210000000.0,1254000000.0,1240000000.0,0.54,0.776,1.065,0.911,0.437037037037037,0.372422680412371,-0.144600938967136
AA,-170000000.0,429000000.0,-123000000.0,-651000000.0,,0.1,0.4,0.4,,3.0000000000000004,0.0
AAL,-8885000000.0,-1993000000.0,127000000.0,822000000.0,0.1,,,,,,
AAME,12169000.0,4281000.0,1525000.0,,,0.02,0.02,0.02,,0.0,0.0
AAN,-265912000.0,109934000.0,-5280000.0,2823000.0,,0.4,0.452,0.5,,0.1299999999999999,0.1061946902654867
AAOI,-58452000.0,-54162000.0,-66397000.0,-56048000.0,,,,,,,
AAON,79009000.0,58758000.0,100376000.0,177623000.0,0.253334,0.253334,0.286667,0.32,0.0,0.1315772853229333,0.1162777717700328
AAP,493021000.0,596615000.0,464402000.0,29735000.0,1.0,3.25,6.0,2.0,2.25,0.8461538461538461,-0.6666666666666666
AAPL,57411000000.0,94680000000.0,99803000000.0,96995000000.0,0.8075,0.865,0.91,0.95,0.0712074303405572,0.0520231213872832,0.0439560439560438
AAT,35588000.0,36593000.0,55877000.0,64690000.0,1.0,1.16,1.28,1.32,0.1599999999999999,0.103448275862069,0.03125
ABBV,4616000000.0,11542000000.0,11836000000.0,4863000000.0,4.72,5.2,5.64,5.92,0.1016949152542373,0.0846153846153845,0.049645390070922
ABCB,261988000.0,376913000.0,346540000.0,269105000.0,0.6,0.6,0.6,0.6,0.0,0.0,0.0
ABEO,-84234000.0,-84936000.0,-39696000.0,-54188000.0,,,,,,,
ABG,254400000.0,532400000.0,997300000.0,602500000.0,,,,,,,
ABIO,-9738000.0,-19322000.0,-9926000.0,-5339000.0,,,,,,,
ABM,300000.0,126300000.0,230400000.0,251300000.0,0.5549999999999999,0.76,0.78,0.88,0.3693693693693695,0.0263157894736842,0.1282051282051281
ABMD,,225525000.0,136505000.0,,,,,,,,
ABR,170949000.0,339300000.0,325783000.0,371434000.0,1.23,1.38,1.54,1.68,0.121951219512195,0.1159420289855073,0.0909090909090908
ABT,4495000000.0,7071000000.0,6933000000.0,5723000000.0,1.44,1.8,1.88,2.04,0.25,0.0444444444444443,0.0851063829787234
AC,18816000.0,59203000.0,-48907000.0,37451000.0,0.199502,0.2,0.2,0.2,0.0024962155767861,0.0,0.0
ACA,106600000.0,69600000.0,245800000.0,159200000.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
ACAD,-281584000.0,-167870000.0,-215975000.0,-61286000.0,,,,,,,
ACCO,62000000.0,101900000.0,-13200000.0,-21800000.0,0.26,0.27,0.3,0.3,0.0384615384615384,0.111111111111111,0.0
ACGL,1405521000.0,2157000000.0,1476000000.0,4443000000.0,,,,,,,
ACHC,-672132000.0,190635000.0,273139000.0,-21667000.0,,,,,,,
ACHV,-14730000.0,-33152000.0,-42350000.0,-29815000.0,,,,,,,
ACIW,72660000.0,127791000.0,142177000.0,121509000.0,,,,,,,
ACLS,49982000.0,98650000.0,183079000.0,246263000.0,,,,,,,
ACM,-186370000.0,173185000.0,310611000.0,55332000.0,,,0.6,0.72,,,0.2
ACMR,18780000.0,37757000.0,39263000.0,77349000.0,,,,,,,
ACN,5107839000.0,5906809000.0,6877169000.0,6871557000.0,3.28,3.61,4.03,4.65,0.100609756097561,0.1163434903047092,0.1538461538461538
ACNB,18394000.0,27834000.0,35752000.0,31688000.0,1.0,1.03,1.06,1.14,0.03,0.029126213592233,0.0754716981132074
ACOR,-99594000.0,-103954000.0,-65916000.0,-252854000.0,,,,,,,
ACRE,21840000.0,60460000.0,29785000.0,-38867000.0,1.32,1.4,1.4,1.36,0.0606060606060604,0.0,-0.0285714285714284
ACRS,-51015000.0,-90865000.0,-86908000.0,-88481000.0,,,,,,,
ACTG,109231000.0,149197000.0,-125065000.0,67060000.0,,,,,,,
ACU,8098766.0,13655679.0,3034766.0,17793160.0,0.48,0.52,0.54,0.56,0.0833333333333334,0.0384615384615384,0.037037037037037
ADBE,5260000000.0,4822000000.0,4756000000.0,5428000000.0,,,,,,,
ADC,91381000.0,122273000.0,152437000.0,169959000.0,2.405,2.604,2.805,2.919,0.0827442827442828,0.0771889400921659,0.0406417112299464
ADI,1220761000.0,1390422000.0,2748561000.0,3314579000.0,2.48,2.76,3.04,3.44,0.1129032258064515,0.1014492753623189,0.131578947368421
ADM,1772000000.0,2709000000.0,4340000000.0,3483000000.0,1.44,1.48,1.6,1.8,0.0277777777777778,0.0810810810810811,0.1249999999999999
ADMA,-75748548.0,-71648000.0,-65904000.0,-28239000.0,,,,,,,
ADNT,-547000000.0,1108000000.0,-120000000.0,205000000.0,,,,,,,
ADP,2466500000.0,2598500000.0,2948900000.0,3412000000.0,3.66,3.83,4.37,5.15,0.0464480874316939,0.1409921671018277,0.1784897025171625
ADSK,,1208000000.0,497000000.0,823000000.0,,,,,,,
ADT,-632193000.0,-340820000.0,132663000.0,463009000.0,0.14,0.14,0.14,0.14,0.0,0.0,0.0
ADTN,2378000.0,-8635000.0,-2037000.0,-267688000.0,0.36,0.36,0.36,0.27,0.0,0.0,-0.2499999999999999
ADUS,33133000.0,45126000.0,46025000.0,62516000.0,,,,,,,
ADVM,-117507000.0,-145540000.0,-154536000.0,-117165000.0,,,,,,,
ADXS,-30146000.0,-40254000.0,-38013000.0,-48072000.0,,,,,,,
AE,995000.0,11888000.0,3487000.0,212000.0,0.96,0.96,0.96,0.96,0.0,0.0,0.0
AEE,871000000.0,990000000.0,1074000000.0,1152000000.0,2.0,2.2,2.36,2.52,0.1,0.0727272727272725,0.0677966101694916
AEHR,-2802000.0,-2027000.0,9450000.0,14557000.0,,,,,,,
AEIS,134675000.0,134736000.0,199660000.0,128284000.0,,0.4,0.4,0.4,,0.0,0.0
AEL,671460000.0,553023000.0,1920219000.0,210530000.0,0.32,0.34,0.36,,0.0625,0.0588235294117645,
AEMD,,-7886709.0,-10416091.0,-12029786.0,,,,,,,
AEO,,-209274000.0,419629000.0,125136000.0,0.276,0.6779999999999999,0.36,0.3,1.4565217391304344,-0.4690265486725663,-0.1666666666666666
AEP,2200100000.0,2488100000.0,2307200000.0,2208100000.0,2.84,3.0,3.17,3.37,0.0563380281690141,0.0566666666666666,0.0630914826498423
AES,46000000.0,-409000000.0,-546000000.0,249000000.0,0.572,0.604,0.632,0.664,0.055944055944056,0.0463576158940397,0.0506329113924051
AFG,732000000.0,1995000000.0,898000000.0,852000000.0,3.85,28.06,14.31,8.1,6.288311688311688,-0.4900213827512473,-0.4339622641509434
AFL,4778000000.0,4231000000.0,4418000000.0,4659000000.0,1.12,1.32,1.6,1.68,0.1785714285714285,0.2121212121212121,0.0499999999999999
AGCO,427100000.0,897000000.0,889600000.0,1171400000.0,0.64,4.76,5.42,6.11,6.4375,0.1386554621848739,0.1273062730627307
AGE,-10865000.0,-8675000.0,-10462000.0,-14803000.0,,,,,,,
AGEN,-180914000.0,-23926000.0,-220074000.0,-245761000.0,,,,,,,
AGIO,-327370000.0,1604715000.0,-231801000.0,-352088000.0,,,,,,,
AGM,108648000.0,136089000.0,178144000.0,200003000.0,,2.64,3.8,4.4,,0.4393939393939393,0.1578947368421054
AGNC,-266000000.0,749000000.0,-1190000000.0,155000000.0,1.56,1.44,1.44,1.44,-0.0769230769230769,0.0,0.0
AGO,362000000.0,389000000.0,124000000.0,739000000.0,0.8,0.88,1.0,1.12,0.0999999999999999,0.1363636363636363,0.1200000000000001
AGR,581000000.0,707000000.0,881000000.0,786000000.0,1.76,1.76,1.76,1.76,0.0,0.0,0.0
AGRX,-51853000.0,-71067000.0,-25412000.0,-14465000.0,,,,,,,
AGS,-85378000.0,-22572000.0,-8035000.0,428000.0,,,,,,,
AGX,,23851000.0,38244000.0,33098000.0,3.25,0.75,1.0,1.05,-0.7692307692307693,0.3333333333333333,0.05
AGYS,,-21001000.0,6478000.0,14582000.0,,,,,,,
AHH,29152000.0,21892000.0,74747000.0,8287000.0,0.44,0.64,0.72,0.775,0.4545454545454546,0.1249999999999999,0.0763888888888889
AHT,-543876000.0,-267005000.0,-139825000.0,-178489000.0,,,,,,,
AIG,-5944000000.0,10367000000.0,10227000000.0,3643000000.0,1.28,1.28,1.28,1.4,0.0,0.0,0.0937499999999999
AIN,98589000.0,118478000.0,95762000.0,111120000.0,0.77,0.81,0.88,1.01,0.0519480519480519,0.0864197530864196,0.1477272727272727
AINC,-212365000.0,-9925000.0,3646000.0,-4628000.0,,,,,,,
AIR,4400000.0,35800000.0,78700000.0,90200000.0,0.075,,,,,,
AIRG,-3279000.0,-10087000.0,-8659000.0,-12428000.0,,,,,,,
AIRI,1096000.0,1627000.0,-1076000.0,-2131000.0,,,,,,,
AIRT,,-7277000.0,10928000.0,-12295000.0,,,,,,,
AIT,24042000.0,144757000.0,257414000.0,346739000.0,1.28,1.32,1.36,1.4,0.03125,0.0303030303030303,0.0294117647058822
AIV,-5041000.0,-5910000.0,75726000.0,-166196000.0,1.257155,,0.02,,,,
AIZ,440800000.0,1361800000.0,276600000.0,642500000.0,2.55,2.66,2.74,2.82,0.0431372549019609,0.0300751879699248,0.0291970802919706
AJG,818800000.0,906800000.0,1114200000.0,969500000.0,1.8,1.92,2.04,2.2,0.0666666666666666,0.0625,0.0784313725490196
AJX,28496000.0,41855000.0,-15011000.0,-47071000.0,0.8300000000000001,0.81,1.16,0.76,-0.0240963855421686,0.4320987654320986,-0.3448275862068965
AKAM,557054000.0,651642000.0,523672000.0,547629000.0,,,,,,,
AKBA,-384841000.0,-282024000.0,-94226000.0,-51925000.0,,,,,,,
AKR,-8976000.0,23548000.0,-35445000.0,19873000.0,0.29,0.6,0.72,0.72,1.0689655172413794,0.2,0.0
AKTS,-36140000.0,-44156000.0,-59027000.0,-63557000.0,,,,,,,
AL,516264000.0,436632000.0,-97024000.0,614622000.0,0.61,0.665,0.755,0.81,0.0901639344262296,0.1353383458646616,0.0728476821192053
ALB,375764000.0,123672000.0,2689816000.0,1573476000.0,1.54,1.56,1.58,1.6,0.0129870129870129,0.0128205128205128,0.0126582278481012
ALCO,23662000.0,34859000.0,12459000.0,1835000.0,0.4499999999999999,1.68,1.55,0.2,2.733333333333334,-0.0773809523809523,-0.8709677419354839
ALDX,-37553729.0,-57776274.0,-62024636.0,-37542510.0,,,,,,,
ALE,174200000.0,169200000.0,189300000.0,247100000.0,2.472,2.52,2.6,2.712,0.0194174757281553,0.0317460317460317,0.0430769230769231
ALEC,-190228000.0,-36329000.0,-133310000.0,-130391000.0,,,,,,,
ALEX,5600000.0,35400000.0,-50600000.0,29800000.0,0.3399999999999999,0.6699999999999999,0.8300000000000001,0.883,0.970588235294118,0.2388059701492539,0.0638554216867469
ALG,57804000.0,80245000.0,101928000.0,136161000.0,0.52,0.56,0.72,0.88,0.0769230769230769,0.2857142857142855,0.2222222222222222
ALGN,1775888000.0,772020000.0,361573000.0,445053000.0,,,,,,,
ALGT,-184093000.0,151853000.0,2493000.0,117596000.0,0.7,,,1.2,,,
ALIM,-5339000.0,-4372000.0,-18107000.0,-20132000.0,,,,,,,
ALK,-1324000000.0,478000000.0,58000000.0,,0.375,,,,,,
ALKS,-110861000.0,-48169000.0,-158267000.0,355757000.0,,,,,,,
ALL,5576000000.0,1614000000.0,-1289000000.0,-188000000.0,2.16,3.24,3.4,3.56,0.5,0.0493827160493826,0.0470588235294118
ALLE,314300000.0,483000000.0,458000000.0,540400000.0,1.28,1.44,1.23,1.8,0.1249999999999999,-0.1458333333333333,0.4634146341463415
ALLK,-153480000.0,-269860000.0,-319952000.0,-185701000.0,,,,,,,
ALLO,-316381000.0,-182051000.0,-340414000.0,-327265000.0,,,,,,,
ALLY,1085000000.0,3060000000.0,1714000000.0,1020000000.0,0.76,0.88,1.2,1.2,0.1578947368421052,0.3636363636363636,0.0
ALNY,-858281000.0,-852824000.0,-1131156000.0,-440242000.0,,,,,,,
ALOT,,1284000.0,6429000.0,2661000.0,0.07,,,,,,
ALPN,-27940000.0,-50333000.0,-57762000.0,-32184000.0,,,,,,,
ALRM,77853000.0,52259000.0,56338000.0,81043000.0,,,,,,,
ALSN,299000000.0,442000000.0,531000000.0,0.0,0.68,0.76,0.84,0.92,0.1176470588235293,0.1052631578947368,0.0952380952380953
ALT,-49044477.0,-97090000.0,-84713000.0,-88447000.0,,,,,,,
ALTM,-16300000.0,600000.0,273500000.0,,,,,,,,
ALTR,-10500000.0,-8794000.0,-43429000.0,-8926000.0,,,,,,,
ALV,187000000.0,435000000.0,423000000.0,488000000.0,0.62,1.88,2.58,2.66,2.032258064516129,0.372340425531915,0.0310077519379845
ALX,41939000.0,132930000.0,57632000.0,102413000.0,18.0,18.0,18.0,18.0,0.0,0.0,0.0
AM,-122527000.0,331617000.0,326242000.0,0.0,1.232,0.983,0.9,0.9,-0.2021103896103896,-0.0844354018311291,0.0
AMAL,46188000.0,52937000.0,81477000.0,87978000.0,0.32,0.32,0.36,0.4,0.0,0.1249999999999999,0.1111111111111112
AMAT,3619000000.0,5888000000.0,6525000000.0,6856000000.0,0.87,0.94,1.02,1.22,0.0804597701149424,0.0851063829787234,0.1960784313725489
AMBC,-437000000.0,-17000000.0,521000000.0,4000000.0,,,,,,,
AMC,-4589100000.0,-1269100000.0,-973600000.0,-396600000.0,0.3,,,,,,
AMCX,239979000.0,250596000.0,7594000.0,215464000.0,,,,,,,
AMD,2490000000.0,3162000000.0,1320000000.0,854000000.0,,,,,,,
AME,872439000.0,990053000.0,1159542000.0,1313188000.0,0.72,0.8,0.88,1.0,0.1111111111111112,0.0999999999999999,0.1363636363636363
AMED,183608000.0,209072000.0,118609000.0,-9747000.0,,,,,,,
AMG,202200000.0,565700000.0,1145900000.0,672900000.0,0.35,0.04,0.04,0.04,-0.8857142857142858,0.0,0.0
AMGN,7264000000.0,5893000000.0,6552000000.0,6717000000.0,6.4,7.04,7.76,8.52,0.0999999999999999,0.1022727272727272,0.0979381443298968
AMH,140374000.0,189092000.0,273138000.0,380168000.0,0.2,0.4,0.72,0.88,1.0,0.7999999999999998,0.2222222222222222
AMKR,338138000.0,642995000.0,765823000.0,359813000.0,0.04,0.17,0.225,0.304,3.25,0.3235294117647058,0.351111111111111
AMN,70665000.0,327388000.0,444050000.0,210679000.0,,,,,,,
AMNB,30045000.0,43526000.0,34428000.0,26159000.0,1.08,1.09,1.14,1.2,0.0092592592592592,0.0458715596330273,0.0526315789473684
AMP,1534000000.0,3417000000.0,3149000000.0,2556000000.0,4.09,4.43,4.88,5.300000000000001,0.0831295843520782,0.1015801354401806,0.0860655737704919
AMPE,-15894000.0,-17075000.0,-16337000.0,-8632000.0,,,,,,,
AMPH,1403000.0,62116000.0,91386000.0,137545000.0,,,,,,,
AMRC,54052000.0,70458000.0,94926000.0,62470000.0,,,,,,,
AMRK,30509000.0,159637000.0,132536000.0,156360000.0,1.5,1.0,1.2,1.8,-0.3333333333333333,0.1999999999999999,0.5000000000000001
AMRX,91059000.0,10624000.0,-129986000.0,-83993000.0,,,,,,,
AMS,-7058000.0,194000.0,1328000.0,610000.0,,,,,,,
AMSC,,-22678000.0,-19193000.0,-35041000.0,,,,,,,
AMSF,86602000.0,65756000.0,55602000.0,62108000.0,4.58,5.16,5.239999999999999,4.859999999999999,0.1266375545851528,0.015503875968992,-0.0725190839694656
AMSWA,,8089000.0,12782000.0,10421000.0,0.44,0.44,0.44,0.44,0.0,0.0,0.0
AMT,1690600000.0,2567700000.0,1765800000.0,1483300000.0,4.53,5.21,5.859999999999999,6.45,0.1501103752759381,0.1247600767754317,0.1006825938566554
AMTD,146918158.23589,156730639.030733,157801070.710949,,,,,,,,
AMTX,-36659000.0,-47147000.0,-107758000.0,-46420000.0,,,,,,,
AMWD,,61193000.0,-29722000.0,93723000.0,,,,,,,
AMZN,21331000000.0,33364000000.0,-2722000000.0,30425000000.0,,,,,,,
AN,381600000.0,1373000000.0,1377400000.0,1021100000.0,,,,,,,
ANAB,-19931000.0,-57796000.0,-128724000.0,-163619000.0,,,,,,,
ANDE,7710000.0,103986000.0,131080000.0,101190000.0,0.7,0.705,0.725,0.745,0.0071428571428571,0.0283687943262411,0.0275862068965517
ANET,634557000.0,840854000.0,1352446000.0,2087321000.0,,,,,,,
ANF,,-114021000.0,263010000.0,2816000.0,0.2,,,,,,
ANGI,-6283000.0,-71378000.0,-128450000.0,-40940000.0,,,,,,,
ANGO,-166787000.0,-31548000.0,-26547000.0,-52442000.0,,,,,,,
ANIK,-23982000.0,4134000.0,-14859000.0,-82667000.0,,,,,,,
ANIP,-22548000.0,-42603000.0,-47896000.0,18779000.0,,,,,,,
ANIX,-10018355.0,-12954000.0,-13595000.0,-9811000.0,,,,,,,
ANSS,433887000.0,454627000.0,523710000.0,500412000.0,,,,,,,
AON,1969000000.0,1255000000.0,2589000000.0,2564000000.0,1.78,1.99,2.1900000000000004,2.405,0.1179775280898876,0.1005025125628142,0.0981735159817348
AOS,344900000.0,487100000.0,235700000.0,556600000.0,0.98,1.06,1.14,1.22,0.0816326530612245,0.0754716981132074,0.0701754385964913
AOSL,-6596000.0,58116000.0,453163000.0,12364000.0,,,,,,,
AP,7970000.0,-3861000.0,3416000.0,-39928000.0,,,,,,,
APA,-4784000000.0,1135000000.0,3604000000.0,2855000000.0,0.325,0.138,0.625,1.0,-0.5753846153846154,3.5289855072463765,0.6
