Ticker,2023_MarketCap,Market_Cap_Cat,2023_PE,Gsector,Avg_PE_Gsector,2020_NI,2021_NI,2022_NI,2023_NI,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow
A,40807911424,large-cap,22.831148,Healthcare,9.464358633419952,719000000.0,1210000000.0,1254000000.0,1240000000.0,68.2893,3.6364,-1.1164
AA,6412950016,mid-cap,15.792951,Basic Materials,12.55348140402062,-170000000.0,429000000.0,-123000000.0,-651000000.0,-352.3529,-128.6713,429.2683
AAL,9062111232,mid-cap,4.3128037,Industrials,24.96220287010145,-8885000000.0,-1993000000.0,127000000.0,822000000.0,-77.5689,-106.3723,547.2441
AAME,38368564,micro-cap,,,,12169000.0,4281000.0,1525000.0,,-64.8204,-64.3775,
AAN,214991008,micro-cap,10.308824,Industrials,24.96220287010145,-265912000.0,109934000.0,-5280000.0,2823000.0,-141.3422,-104.8029,-153.4659
AAOI,384556992,small-cap,11.614942,Technology,16.56895850996923,-58452000.0,-54162000.0,-66397000.0,-56048000.0,-7.3394,22.5896,-15.5865
AAON,7806068224,mid-cap,32.440273,Industrials,24.96220287010145,79009000.0,58758000.0,100376000.0,177623000.0,-25.6313,70.8295,76.9576
AAP,4393816064,mid-cap,16.60899,Consumer Cyclical,14.47728578458472,493021000.0,596615000.0,464402000.0,29735000.0,21.0121,-22.1605,-93.5971
AAPL,2696773369856,mega-cap,26.205706,Technology,16.56895850996923,57411000000.0,94680000000.0,99803000000.0,96995000000.0,64.9161,5.4109,-2.8135
AAT,1663310720,small-cap,29.643833,Real Estate,15.27622651128655,35588000.0,36593000.0,55877000.0,64690000.0,2.824,52.6986,15.7721
ABBV,286615109632,mega-cap,13.412252,Healthcare,9.464358633419952,4616000000.0,11542000000.0,11836000000.0,4863000000.0,150.0433,2.5472,-58.9135
ABCB,3315460864,mid-cap,9.844581,Financial Services,12.598469945390626,261988000.0,376913000.0,346540000.0,269105000.0,43.8665,-8.0584,-22.3452
ABEO,105349576,micro-cap,-2.0078948,Healthcare,9.464358633419952,-84234000.0,-84936000.0,-39696000.0,-54188000.0,0.8334,-53.2636,36.5075
ABG,4291232000,mid-cap,6.846104,Consumer Cyclical,14.47728578458472,254400000.0,532400000.0,997300000.0,602500000.0,109.2767,87.3216,-39.5869
ABIO,51623916,micro-cap,-0.40292045,Healthcare,9.464358633419952,-9738000.0,-19322000.0,-9926000.0,-5339000.0,98.4186,-48.6285,-46.212
ABM,2782610688,mid-cap,12.160221,Industrials,24.96220287010145,300000.0,126300000.0,230400000.0,251300000.0,42000.0,82.4228,9.0712
ABMD,17180649472,large-cap,,,,,225525000.0,136505000.0,,,-39.4723,
ABR,2455298048,mid-cap,7.5847955,Real Estate,15.27622651128655,170949000.0,339300000.0,325783000.0,371434000.0,98.4802,-3.9838,14.0127
ABT,184848728064,large-cap,20.723736,Healthcare,9.464358633419952,4495000000.0,7071000000.0,6933000000.0,5723000000.0,57.3081,-1.9516,-17.4528
AC,688386176,small-cap,12.413129,Financial Services,12.598469945390626,18816000.0,59203000.0,-48907000.0,37451000.0,214.6418,-182.609,-176.576
ACA,3757226496,mid-cap,19.823978,Industrials,24.96220287010145,106600000.0,69600000.0,245800000.0,159200000.0,-34.7092,253.1609,-35.2319
ACAD,2801842944,mid-cap,13.547619,Healthcare,9.464358633419952,-281584000.0,-167870000.0,-215975000.0,-61286000.0,-40.3837,28.6561,-71.6236
ACCO,462775488,small-cap,3.9,Industrials,24.96220287010145,62000000.0,101900000.0,-13200000.0,-21800000.0,64.3548,-112.9539,65.1515
ACGL,34475057152,large-cap,10.699883,Financial Services,12.598469945390626,1405521000.0,2157000000.0,1476000000.0,4443000000.0,53.4662,-31.5716,201.0163
ACHC,6853066752,mid-cap,18.382133,Healthcare,9.464358633419952,-672132000.0,190635000.0,273139000.0,-21667000.0,-128.3627,43.2785,-107.9326
ACHV,150879632,micro-cap,-4.894445,Healthcare,9.464358633419952,-14730000.0,-33152000.0,-42350000.0,-29815000.0,125.0645,27.7449,-29.5986
ACIW,3718960128,mid-cap,20.582808,Technology,16.56895850996923,72660000.0,127791000.0,142177000.0,121509000.0,75.8753,11.2574,-14.5368
ACLS,3439095808,mid-cap,12.489311,Technology,16.56895850996923,49982000.0,98650000.0,183079000.0,246263000.0,97.3711,85.5844,34.5119
ACM,12795778048,large-cap,18.636364,Industrials,24.96220287010145,-186370000.0,173185000.0,310611000.0,55332000.0,-192.9254,79.3521,-82.1861
ACMR,1633926656,small-cap,14.322107,Technology,16.56895850996923,18780000.0,37757000.0,39263000.0,77349000.0,101.049,3.9887,97.0023
ACN,189769269248,large-cap,23.021343,Technology,16.56895850996923,5107839000.0,5906809000.0,6877169000.0,6871557000.0,15.642,16.4278,-0.0816
ACNB,277792512,small-cap,9.374914,Financial Services,12.598469945390626,18394000.0,27834000.0,35752000.0,31688000.0,51.3211,28.4472,-11.3672
ACOR,821028,micro-cap,-0.6885417,Healthcare,9.464358633419952,-99594000.0,-103954000.0,-65916000.0,-252854000.0,4.3778,-36.5912,283.6003
ACRE,374699616,small-cap,8.740506,Real Estate,15.27622651128655,21840000.0,60460000.0,29785000.0,-38867000.0,176.8315,-50.736,-230.4919
ACRS,86173880,micro-cap,-1.4878049,Healthcare,9.464358633419952,-51015000.0,-90865000.0,-86908000.0,-88481000.0,78.1143,-4.3548,1.81
ACTG,487107136,small-cap,8.431034,Industrials,24.96220287010145,109231000.0,149197000.0,-125065000.0,67060000.0,36.5885,-183.8254,-153.6201
ACU,148906416,micro-cap,15.772201,Consumer Defensive,16.978317663274336,8098766.0,13655679.0,3034766.0,17793160.0,68.6143,-77.7765,486.3108
ADBE,211122520064,mega-cap,24.78534,Technology,16.56895850996923,5260000000.0,4822000000.0,4756000000.0,5428000000.0,-8.327,-1.3687,14.1295
ADC,5800956416,mid-cap,30.865591,Real Estate,15.27622651128655,91381000.0,122273000.0,152437000.0,169959000.0,33.8057,24.6694,11.4946
ADI,100644528128,large-cap,26.858652,Technology,16.56895850996923,1220761000.0,1390422000.0,2748561000.0,3314579000.0,13.898,97.6782,20.5932
ADM,29406732288,large-cap,10.247369,Consumer Defensive,16.978317663274336,1772000000.0,2709000000.0,4340000000.0,3483000000.0,52.8781,60.2067,-19.7465
ADMA,1528536320,small-cap,13.21,Healthcare,9.464358633419952,-75748548.0,-71648000.0,-65904000.0,-28239000.0,-5.4134,-8.017,-57.1513
ADNT,2718215680,mid-cap,7.5797467,Consumer Cyclical,14.47728578458472,-547000000.0,1108000000.0,-120000000.0,205000000.0,-302.5594,-110.8303,-270.8333
ADP,99945455616,large-cap,24.39717,Industrials,24.96220287010145,2466500000.0,2598500000.0,2948900000.0,3412000000.0,5.3517,13.4847,15.7042
ADSK,46408323072,large-cap,23.87157,Technology,16.56895850996923,,1208000000.0,497000000.0,823000000.0,,-58.8576,65.5936
ADT,5912879104,mid-cap,7.6588235,Industrials,24.96220287010145,-632193000.0,-340820000.0,132663000.0,463009000.0,-46.0892,-138.9247,249.0114
ADTN,350799456,small-cap,11.684211,Technology,16.56895850996923,2378000.0,-8635000.0,-2037000.0,-267688000.0,-463.1203,-76.41,13041.2862
ADUS,1529968256,small-cap,17.815588,Healthcare,9.464358633419952,33133000.0,45126000.0,46025000.0,62516000.0,36.1965,1.9922,35.8305
ADVM,206768624,micro-cap,-1.9060775,Healthcare,9.464358633419952,-117507000.0,-145540000.0,-154536000.0,-117165000.0,23.8565,6.1811,-24.1827
ADXS,28324944,micro-cap,-0.9109589,Healthcare,9.464358633419952,-30146000.0,-40254000.0,-38013000.0,-48072000.0,33.5302,-5.5671,26.462
AE,76871168,micro-cap,-93.59376,Energy,12.36454823211009,995000.0,11888000.0,3487000.0,212000.0,1094.7739,-70.6679,-93.9203
AEE,19673841664,large-cap,15.05204,Utilities,17.248461625,871000000.0,990000000.0,1074000000.0,1152000000.0,13.6625,8.4848,7.2626
AEHR,358686848,small-cap,23.367926,Technology,16.56895850996923,-2802000.0,-2027000.0,9450000.0,14557000.0,-27.6588,-566.2062,54.0423
AEIS,3605370624,mid-cap,16.79376,Industrials,24.96220287010145,134675000.0,134736000.0,199660000.0,128284000.0,0.0453,48.1861,-35.7488
AEL,4462280192,mid-cap,7.974468,Financial Services,12.598469945390626,671460000.0,553023000.0,1920219000.0,210530000.0,-17.6387,247.2223,-89.0361
AEMD,3602716,micro-cap,-0.5209125,Healthcare,9.464358633419952,,-7886709.0,-10416091.0,-12029786.0,,32.0715,15.4923
