Unnamed: 0,2020_NI,2021_NI,2022_NI,2023_NI,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow
A,719000000.0,1210000000.0,1254000000.0,1240000000.0,68.2893,3.6364,-1.1164
AA,-170000000.0,429000000.0,-123000000.0,-651000000.0,-352.3529,-128.6713,429.2683
AAL,-8885000000.0,-1993000000.0,127000000.0,822000000.0,-77.5689,-106.3723,547.2441
AAME,12169000.0,4281000.0,1525000.0,,-64.8204,-64.3775,
AAN,-265912000.0,109934000.0,-5280000.0,2823000.0,-141.3422,-104.8029,-153.4659
AAOI,-58452000.0,-54162000.0,-66397000.0,-56048000.0,-7.3394,22.5896,-15.5865
AAON,79009000.0,58758000.0,100376000.0,177623000.0,-25.6313,70.8295,76.9576
AAP,493021000.0,596615000.0,464402000.0,29735000.0,21.0121,-22.1605,-93.5971
AAPL,57411000000.0,94680000000.0,99803000000.0,96995000000.0,64.9161,5.4109,-2.8135
AAT,35588000.0,36593000.0,55877000.0,64690000.0,2.824,52.6986,15.7721
ABBV,4616000000.0,11542000000.0,11836000000.0,4863000000.0,150.0433,2.5472,-58.9135
ABCB,261988000.0,376913000.0,346540000.0,269105000.0,43.8665,-8.0584,-22.3452
ABEO,-84234000.0,-84936000.0,-39696000.0,-54188000.0,0.8334,-53.2636,36.5075
ABG,254400000.0,532400000.0,997300000.0,602500000.0,109.2767,87.3216,-39.5869
ABIO,-9738000.0,-19322000.0,-9926000.0,-5339000.0,98.4186,-48.6285,-46.212
ABM,300000.0,126300000.0,230400000.0,251300000.0,42000.0,82.4228,9.0712
ABMD,,225525000.0,136505000.0,,,-39.4723,
ABR,170949000.0,339300000.0,325783000.0,371434000.0,98.4802,-3.9838,14.0127
ABT,4495000000.0,7071000000.0,6933000000.0,5723000000.0,57.3081,-1.9516,-17.4528
AC,18816000.0,59203000.0,-48907000.0,37451000.0,214.6418,-182.609,-176.576
ACA,106600000.0,69600000.0,245800000.0,159200000.0,-34.7092,253.1609,-35.2319
ACAD,-281584000.0,-167870000.0,-215975000.0,-61286000.0,-40.3837,28.6561,-71.6236
ACCO,62000000.0,101900000.0,-13200000.0,-21800000.0,64.3548,-112.9539,65.1515
