Ticker,2023_MarketCap
A,40807911424
AA,6412950016
AAL,9062111232
AAME,38368564
AAN,214991008
AAOI,384556992
AAON,7806068224
AAP,4393816064
AAPL,2696773369856
AAT,1663310720
ABBV,286615109632
ABCB,3315460864
ABEO,105349576
ABG,4291232000
ABIO,51623916
ABM,2782610688
ABMD,17180649472
ABR,2455298048
ABT,184848728064
AC,688386176
ACA,3757226496
ACAD,2801842944
ACCO,462775488
ACGL,34475057152
ACHC,6853066752
ACHV,150879632
ACIW,3718960128
ACLS,3439095808
ACM,12795778048
ACMR,1633926656
ACN,189769269248
ACNB,277792512
ACOR,821028
ACRE,374699616
ACRS,86173880
ACTG,487107136
ACU,148906416
ADBE,211122520064
ADC,5800956416
ADI,100644528128
ADM,29406732288
ADMA,1528536320
ADNT,2718215680
ADP,99945455616
ADSK,46408323072
ADT,5912879104
ADTN,350799456
ADUS,1529968256
ADVM,206768624
ADXS,28324944
AE,76871168
AEE,19673841664
AEHR,358686848
AEIS,3605370624
AEL,4462280192
AEMD,3602716
AEO,4865834496
AEP,45966041088
AES,12552868864
AFG,10624732160
AFL,48282488832
AGCO,8595993600
AGE,27758326
AGEN,249047952
AGIO,1870102528
AGM,1991970304
AGNC,6633963520
AGO,4304510976
AGR,14125936640
AGRX,2934466
AGS,346334688
AGX,816106496
AGYS,2299790592
AHH,937569984
AHT,51607032
AIG,50795053056
AIN,2607302400
AINC,16771119
AIR,2449075200
AIRG,54336092
AIRI,23505642
AIRT,72512552
AIT,7063503360
AIV,1149807232
AIZ,9099192320
AJG,50930614272
AJX,130940352
AKAM,15509551104
AKBA,259684112
AKR,1911095680
AKTS,57199600
AL,5710343168
ALB,14141783040
ALCO,215896416
ALDX,234687280
ALE,3414939136
ALEC,506983008
ALEX,1193051008
ALG,2409582080
ALGN,21905897472
ALGT,1012238144
ALIM,193318992
ALK,5527292928
ALKS,4156850944
ALL,44517244928
ALLE,10827344896
ALLK,92971720
ALLO,480465760
ALLY,11730510848
ALNY,18579591168
ALOT,135117792
ALPN,4238158336
ALRM,3351099392
ALSN,6527623680
ALT,462946304
ALTM,4636424192
ALTR,6824236032
ALV,9842664448
ALX,1062316288
AM,6708499456
AMAL,752386432
AMAT,169841000448
AMBC,666616512
AMC,820181376
AMCX,471771040
AMD,259665215488
AME,40912961536
AMED,3000229632
AMG,5114170880
AMGN,147071614976
AMH,15024633856
AMKR,8214192128
AMN,2264785152
AMNB,507722208
AMP,41371369472
AMPE,249779
AMPH,2046748160
AMRC,1094224512
AMRK,932349312
AMRX,1818925696
AMS,20128766
AMSC,448451488
AMSF,862510144
AMSWA,342499232
AMT,81169661952
AMTD,1751433344
AMTX,166225056
AMWD,1473216768
AMZN,1881500942336
AN,6532837376
ANAB,601009216
ANDE,1911896320
ANET,82767691776
ANF,6342195712
ANGI,1094940672
ANGO,227709824
ANIK,384651296
ANIP,1379664512
ANIX,94745592
ANSS,28844793856
AON,61641691136
AOS,12333479936
AOSL,626225152
AP,42711256
APA,11891554304
APAM,2889239808
APD,51303735296
APDN,3244880
APEI,240721552
APH,73625042944
APLE,3624284416
APLS,4712271872
APOG,1371733376
APPF,8588708352
APPN,2772605952
APPS,195880320
APT,68886624
APTV,19341121536
APVO,2630852
APYX,47635364
AQB,7482276
AQMS,55480348
AR,10522371072
ARAY,213708768
ARC,113757296
ARCB,2628430080
ARCH,2908636160
ARDX,1549618944
ARE,20669739008
ARES,41336938496
ARI,1407403776
ARKR,49737408
ARL,227985472
ARLO,1195551616
ARMK,8352598528
AROC,3077330432
AROW,372676480
ARR,897033088
ARTNA,356764352
ARTW,9730963
ARVN,2163668480
ARW,6926546944
ARWR,2839099904
ASB,3218277888
ASGN,4543515136
ASH,4829157888
ASIX,692360704
ASMB,68753688
ASPN,1251989760
ASPS,53110608
ASRT,80254600
ASRV,40982048
ASTC,15685186
ASTE,959544000
ASUR,189745232
ASYS,68684440
ATEC,1761555712
ATEN,990041216
ATGE,1943337856
ATI,7442756608
ATKR,6610205184
ATLC,402211104
ATLO,175257392
ATNI,307147008
ATNM,229927840
ATO,17746325504
ATOS,191715120
ATR,9613191168
ATRA,85652016
ATRC,1154217984
ATRI,752331584
ATRO,576897856
ATSG,835499200
ATUS,923393984
AUBN,63445592
AUMN,7161319
AVA,2784203520
AVAV,4545603584
AVB,27037710336
AVD,330279808
AVGO,620752404480
AVGR,5980841
AVNS,836756288
AVNW,427737472
AVRO,54077752
AVT,4491974656
AVTR,16506163200
AVXL,296836672
AVY,17563914240
AWI,5151198720
AWK,23805300736
AWR,2627987968
AWRE,38480128
AX,2933691904
AXDX,19220656
AXGN,284298432
AXL,866269760
AXNX,3409072640
AXP,170863230976
AXR,109326968
AXS,5212085760
AXSM,3512604416
AXTA,6992208384
AXTI,133408328
AYI,7797566464
AYX,3527897856
AZO,51105329152
AZPN,12570588160
AZZ,1843350656
B,1778288128
BA,106351296512
BAC,294968262656
BAH,19130400768
BANC,2364505856
BAND,489123808
BANF,2927442944
BANR,1519923840
BATRA,2390976256
BATRK,2384618496
BAX,20590352384
BBCP,370103392
BBGI,20729940
BBSI,801767104
BBW,428213504
BBY,15899424768
BC,5564546560
BCBP,160413216
BCC,5306059264
BCLI,38182624
BCO,4014265344
BCOV,72382592
BCPC,4492276224
BCRX,861432000
BDC,3396680704
BDL,50183552
BDN,799135232
BDSI,577050112
BDX,67325722624
BE,2528769536
BEAT,52621140
BECN,6316980224
BELFA,777015424
BELFB,776680896
BEN,12137161728
BERY,6594507264
BFAM,6103487488
BFIN,121990256
BFS,1210809728
BFST,523468096
BG,14327999488
BGFV,78760536
BGS,877076480
BGSF,95408416
BH,617780096
BHB,385472096
BHE,1131917824
BHF,3032441856
BHLB,941237184
BHR,234694928
BHVN,3450462208
BIG,102851408
BIIB,31642595328
BIO,7796011520
BIOL,4988535
BJ,10033236992
BJRI,772980416
BK,42733944832
BKD,1323479680
BKE,1896177536
BKH,3727923968
BKNG,119218331648
BKSC,67137688
BKTI,49896376
BKU,2035253888
BL,3672304384
BLBD,1079136000
BLCM,778326
BLD,13039654912
BLDR,22713440256
BLFS,797506496
BLK,112765280256
BLKB,4035994368
BLMN,2294310400
BLUE,170653760
BMI,5521312256
BMRC,231258352
BMRN,15367937024
BMY,89841074176
BNED,10843905
BOH,2285287168
BOKF,5823512064
BOOM,323913056
BOOT,3274401792
BOTJ,46296632
BOX,3833293824
BPMC,5780227072
BPOP,6222283776
BPRN,186819200
BPTH,4289106
BR,22867200000
BRC,2875246848
BRID,94580568
BRKL,744955776
BRKR,11603546112
BRN,28358202
BRO,23239235584
BRT,340200544
BRX,6810864128
BRY,660136640
BSET,123249352
BSGM,14501669
BSRR,300721408
BSX,106200276992
BTU,2904167168
BURL,11731288064
BUSE,1272438272
BV,1064832000
BW,91270008
BWA,7665429504
BWEN,47682140
BWFG,179515696
BWXT,8826288128
BXC,957382080
BXMT,3076776448
BXP,9909006336
BY,957445696
BYD,5076604416
BYFC,45836780
BYND,439583552
BZH,885938496
C,118254223360
CABO,2190156544
CAC,443926112
CACC,6306868736
CACI,8972517376
CADE,5129682432
CAG,14786489344
CAH,24916789248
CAKE,1767722880
CAL,1301134464
CALA,97450
CALM,2717212160
CALX,1834044672
CAMP,5428127
CAPR,164445648
CAR,3497881600
CARA,40426320
CARG,2377117440
CARS,1104600320
CASA,3468815
CASH,1315070336
CASI,31359274
CASS,586980992
CASY,11807005696
CAT,170282549248
CATC,493645152
CATO,99116552
CATY,2519373056
CB,101080760320
CBAN,193632720
CBAY,3728216832
CBFV,114488664
CBOE,18937114624
CBRE,26965469184
CBRL,1291216000
CBSH,7142952448
CBT,5115709440
CBU,2296332800
CBZ,3598549760
CC,4089760768
CCBG,457381696
CCI,41194500096
CCK,10149111808
CCL,19735148544
CCNE,395789984
CCO,682045184
CCOI,3210892288
CCRN,602346496
CCS,2521964288
CDE,1859389696
CDLX,612773312
CDMO,468480928
CDNA,426654816
CDNS,76268281856
CDTX,55470880
CDW,33191583744
CDXC,268853504
CDXS,210207760
CDZI,151388096
CE,17417216000
CEI,25185754
CEIX,2507642112
CELC,487249600
CELH,16860282880
CENT,2569706240
CENTA,2562617856
CENX,1623649152
CERS,309993952
CETX,1485056
CEVA,480119360
CF,14905444352
CFBK,117393320
CFFI,132869456
CFFN,642587072
CFG,15776468992
CFR,6747344384
CGNX,7178680832
CHCI,72712680
CHCO,1521786880
CHCT,739072832
CHD,26027102208
CHDN,9486379008
CHE,8574599680
CHEF,1337983872
CHGG,581103616
CHH,5896915456
CHK,12008288256
CHMG,202909552
CHMI,106479552
CHRS,235508352
CHRW,8134554112
CHTR,37202948096
CHUY,522653248
CI,101124415488
CIA,113357208
CIEN,6805017600
CIM,1010765312
CINF,18025502720
CIO,186716576
CIVB,227464400
CIX,413989952
CIZN,44204472
CKX,29262454
CL,74857037824
CLAR,242035776
CLB,755496640
CLDT,467051008
CLDX,2418256128
CLF,8301477888
CLFD,436936032
CLH,10539027456
CLIR,38576524
CLNE,532482272
CLPR,177574720
CLRB,99684944
CLRO,21914948
CLW,757483840
CLX,18346590208
CMA,6765914624
CMC,6230875648
CMCO,1203438592
CMCSA,149078327296
CMCT,78272312
CME,74914627584
CMG,87538556928
CMI,39319584768
CMP,536902336
CMRX,84303824
CMS,17933031424
CMT,171826672
CMTL,56662864
CNA,11862668288
CNC,39031599104
CNDT,679132992
CNFR,11977220
CNK,2109262208
CNMD,2071038976
CNNE,1237243904
CNO,2826942976
CNOB,694212480
CNP,18302834688
CNS,3457347072
CNSL,512209728
CNTY,91079696
CNX,3657958144
CNXN,1652162944
CODA,74745360
COF,55125569536
COHN,12717144
COHR,8583506944
COHU,1453070848
COKE,7697205760
COLB,3942437120
COLD,6296445440
COLL,1242816640
COLM,4779290624
COMM,203035424
CONN,91082760
COO,17629657088
COOP,5061829120
COP,149918367744
COR,47585677312
CORR,1627350
CORT,2462494464
COST,319721996288
COTY,10307871744
CPB,13475746816
CPE,2378336768
CPF,544361472
CPHC,117436840
CPIX,23816520
CPK,2343643904
CPRI,4108986624
CPRT,53168848896
CPRX,1768984832
CPS,264346624
CPSH,26207156
CPSI,133326672
CPSS,179604144
CPT,10695050240
CR,8254372352
CRAI,1033737664
CRBP,367016512
CRC,3682188800
CRI,2521688064
CRIS,85817808
CRK,2984843264
CRL,11827909632
CRM,264994308096
CRMD,291399840
CRMT,366523008
CRNX,3426168832
CROX,7675830784
CRS,4235136768
CRUS,4828800512
CRVL,4089982208
CRVS,77235800
CRWS,52227568
CSCO,191303974912
CSGP,37726720000
CSGS,1432855680
CSL,18841268224
CSPI,135481680
CSTR,418353376
CSV,393740704
CSWI,3735876864
CSX,65519480832
CTAS,67691552768
CTBI,754815872
CTHR,10208058
CTLT,10167119872
CTMX,111622008
CTO,395546720
CTRE,3334327040
CTRN,187061872
CTS,1439062144
CTSH,32979210240
