Ticker,2023_MarketCap,Market_Cap_Cat
A,40807911424,large-cap
AA,6412950016,mid-cap
AAL,9062111232,mid-cap
AAME,38368564,micro-cap
AAN,214991008,micro-cap
AAOI,384556992,small-cap
AAON,7806068224,mid-cap
AAP,4393816064,mid-cap
AAPL,2696773369856,mega-cap
AAT,1663310720,small-cap
ABBV,286615109632,mega-cap
ABCB,3315460864,mid-cap
ABEO,105349576,micro-cap
ABG,4291232000,mid-cap
ABIO,51623916,micro-cap
ABM,2782610688,mid-cap
ABMD,17180649472,large-cap
ABR,2455298048,mid-cap
ABT,184848728064,large-cap
AC,688386176,small-cap
ACA,3757226496,mid-cap
ACAD,2801842944,mid-cap
ACCO,462775488,small-cap
ACGL,34475057152,large-cap
ACHC,6853066752,mid-cap
ACHV,150879632,micro-cap
ACIW,3718960128,mid-cap
ACLS,3439095808,mid-cap
ACM,12795778048,large-cap
ACMR,1633926656,small-cap
ACN,189769269248,large-cap
ACNB,277792512,small-cap
ACOR,821028,micro-cap
ACRE,374699616,small-cap
ACRS,86173880,micro-cap
ACTG,487107136,small-cap
ACU,148906416,micro-cap
ADBE,211122520064,mega-cap
ADC,5800956416,mid-cap
ADI,100644528128,large-cap
ADM,29406732288,large-cap
ADMA,1528536320,small-cap
ADNT,2718215680,mid-cap
ADP,99945455616,large-cap
ADSK,46408323072,large-cap
ADT,5912879104,mid-cap
ADTN,350799456,small-cap
ADUS,1529968256,small-cap
ADVM,206768624,micro-cap
ADXS,28324944,micro-cap
AE,76871168,micro-cap
AEE,19673841664,large-cap
AEHR,358686848,small-cap
AEIS,3605370624,mid-cap
AEL,4462280192,mid-cap
AEMD,3602716,micro-cap
AEO,4865834496,mid-cap
AEP,45966041088,large-cap
AES,12552868864,large-cap
AFG,10624732160,large-cap
AFL,48282488832,large-cap
AGCO,8595993600,mid-cap
AGE,27758326,micro-cap
AGEN,249047952,micro-cap
AGIO,1870102528,small-cap
AGM,1991970304,small-cap
AGNC,6633963520,mid-cap
AGO,4304510976,mid-cap
AGR,14125936640,large-cap
AGRX,2934466,micro-cap
AGS,346334688,small-cap
AGX,816106496,small-cap
AGYS,2299790592,mid-cap
AHH,937569984,small-cap
AHT,51607032,micro-cap
AIG,50795053056,large-cap
