Ticker,2023_PE
A,22.831148
AA,15.792951
AAL,4.3128037
AAME,
AAN,10.308824
AAOI,11.614942
AAON,32.440273
AAP,16.60899
AAPL,26.205706
AAT,29.643833
ABBV,13.412252
ABCB,9.844581
ABEO,-2.0078948
ABG,6.846104
ABIO,-0.40292045
ABM,12.160221
ABMD,60.768738
ABR,7.5847955
ABT,20.723736
AC,12.413129
ACA,19.823978
ACAD,13.547619
ACCO,3.9
ACGL,10.699883
ACHC,18.382133
ACHV,-4.894445
ACIW,20.582808
ACLS,12.489311
ACM,18.636364
ACMR,14.322107
ACN,23.021343
ACNB,9.374914
ACOR,-0.6885417
ACRE,8.740506
ACRS,-1.4878049
ACTG,8.431034
ACU,15.772201
ADBE,24.78534
ADC,30.865591
ADI,26.858652
ADM,10.247369
ADMA,13.21
ADNT,7.5797467
ADP,24.39717
ADSK,23.87157
ADT,7.6588235
ADTN,11.684211
ADUS,17.815588
ADVM,-1.9060775
ADXS,-0.9109589
AE,-93.59376
AEE,15.05204
AEHR,23.367926
AEIS,16.79376
AEL,7.974468
AEMD,-0.5209125
AEO,12.800518
AEP,14.649328
AES,8.545895
AFG,10.641005
AFL,12.200828
AGCO,9.164547
AGE,
AGEN,-0.9163439
AGIO,-5.6235147
AGM,10.300925
AGNC,4.628191
AGO,11.50074
AGR,15.136929
AGRX,0.3890909
AGS,18.122448
AGX,13.869955
AGYS,66.338585
AHH,-62.29471
AHT,-0.31161457
AIG,9.560203
AIN,18.006369
AINC,0.7156662
AIR,16.781403
AIRG,16.164375
AIRI,-12.423684
AIRT,
AIT,18.0572
AIV,-46.82353
AIZ,10.323449
AJG,20.61474
AJX,7.866667
AKAM,13.800819
AKBA,-3.953125
AKR,48.657146
AKTS,-1.6764705
AL,9.706215
ALB,13.532022
ALCO,60.170216
ALDX,-13.862069
ALE,14.2139435
ALEC,-2.9774013
ALEX,21.946665
ALG,14.93988
ALGN,26.912605
ALGT,6.77445
ALIM,18.4625
ALK,7.0023847
ALKS,9.562016
ALL,9.984652
ALLE,16.342556
ALLK,-1.5071428
ALLO,-1.803125
ALLY,7.206276
ALNY,-83.49716
ALOT,49.857147
ALPN,-34.208996
ALRM,29.588497
ALSN,8.632912
ALT,-3.5783782
ALTM,13.854839
ALTR,58.014084
ALV,10.068808
ALX,15.987701
AM,14.255102
AMAL,7.555046
AMAT,22.93561
AMBC,42.17143
AMC,-3.711125
AMCX,2.072797
AMD,31.071566
AME,23.727638
AMED,18.309381
AMG,6.4021826
AMGN,13.9765415
AMH,52.188404
AMKR,14.519315
AMN,13.0711155
AMNB,19.899998
AMP,10.849278
AMPE,-2.4444444
AMPH,9.870326
AMRC,10.363861
AMRK,7.560297
AMRX,8.94697
AMS,7.5707145
AMSC,310.51752
AMSF,18.809128
AMSWA,27.026318
AMT,23.704206
AMTD,
AMTX,-7.82
AMWD,10.224175
AMZN,36.672066
AN,8.131868
ANAB,-3.6946309
ANDE,14.499999
ANET,30.84244
ANF,15.462298
ANGI,36.083332
ANGO,-11.632652
ANIK,63.268295
ANIP,13.12974
ANIX,-6.722223
ANSS,30.820728
AON,16.239317
AOS,19.369265
AOSL,27.358025
AP,9.347826
APA,5.9981346
APAM,11.494445
APD,17.07297
APDN,-0.35188678
APEI,14.414584
APH,32.196335
APLE,17.845238
APLS,37.851852
APOG,12.747434
APPF,45.470196
APPN,-295.0
APPS,4.269111
APT,5.181035
APTV,9.903632
APVO,-0.0905948
APYX,-1.9642857
AQB,-0.6257097
AQMS,-7.002857
AR,12.414545
ARAY,16.653847
ARC,8.3125
ARCB,8.917787
ARCH,7.094066
ARDX,167.875
ARE,31.065617
ARES,21.700813
ARI,7.996129
ARKR,
ARL,
ARLO,21.199484
ARMK,16.431702
AROC,16.76695
AROW,8.584906
ARR,4.316901
ARTNA,16.547619
ARTW,
ARVN,-5.7217236
ARW,8.0494375
ARWR,-8.62406
ASB,9.025316
ASGN,16.26539
ASH,16.930824
ASIX,6.22476
ASMB,-0.7956853
ASPN,24.893938
ASPS,-6.4748387
ASRT,Infinity
ASRV,
ASTC,-13.554707
ASTE,13.651613
ASUR,10.229166
ASYS,24.25
ATEC,-16.592106
ATEN,15.275862
ATGE,9.58721
ATI,20.016722
ATKR,10.039722
ATLC,4.3359747
ATLO,
ATNI,64.43333
ATNM,-71.454544
ATO,16.651133
ATOS,-5.133333
ATR,25.03793
ATRA,-1.5652174
ATRC,-41.894737
ATRI,
ATRO,14.556436
ATSG,12.7255
ATUS,7.769231
AUBN,
AUMN,-1.2107317
AVA,13.78876
AVAV,47.199444
AVB,34.93934
AVD,11.42
AVGO,25.227316
AVGR,-0.43333334
AVNS,9.821622
AVNW,8.194712
AVRO,-3.6515152
AVT,8.385522
AVTR,19.764227
AVXL,-5.609375
AVY,20.714422
AWI,18.272446
AWK,21.477114
AWR,21.503048
AWRE,-14.538462
AX,7.4109197
AXDX,-0.4573196
AXGN,38.235294
AXL,13.943397
AXNX,79.58321
AXP,15.95744
AXR,
AXS,5.836174
AXSM,60.569103
AXTA,14.751163
AXTI,16.75
AYI,15.2860155
AYX,28.222221
AZO,17.708242
AZPN,27.195742
AZZ,12.932862
B,16.399998
BA,30.18
BAC,11.308735
BAH,24.977964
BANC,6.9183173
BAND,11.402515
BANF,15.943548
BANR,8.889337
BATRA,-97.635956
BATRK,-158.375
BAX,12.512384
BBCP,9.690142
BBGI,-4.8821425
BBSI,14.297439
BBW,7.9687505
BBY,11.016369
BC,9.60035
BCBP,6.1428576
BCC,11.508662
BCLI,-1.9953573
BCO,9.14939
BCOV,-163.0
BCPC,29.096436
BCRX,-11.885714
BDC,11.499314
BDL,
BDN,-14.075757
BDSI,8.873016
BDX,16.252264
BE,26.784525
BEAT,-3.3728814
BECN,11.873054
BELFA,12.263159
BELFB,10.55635
BEN,8.15929
BERY,6.857831
BFAM,26.625317
BFIN,11.517647
BFS,32.796997
BFST,7.8396955
BG,10.351833
BGFV,-23.466665
BGS,11.95914
BGSF,9.255319
BH,-26.838257
BHB,9.082806
BHE,12.905737
BHF,2.439638
BHLB,8.958848
BHR,-3.2828574
BHVN,-6.715266
BIG,-0.52414155
BIIB,12.504608
BIO,22.78125
BIOL,-1.3636364
BJ,17.512762
BJRI,22.228188
BK,9.424217
BKD,-12.172414
BKE,9.147561
BKH,13.230486
BKNG,17.100454
BKSC,
BKTI,4.1982245
BKU,8.615142
BL,27.660465
BLBD,13.467872
BLCM,-0.07786459
BLD,18.03459
BLDR,12.901243
BLFS,-39.177776
BLK,16.227797
BLKB,16.230928
BLMN,9.4577055
BLUE,-0.55043477
BMI,40.868477
BMRC,9.284314
BMRN,30.731058
BMY,6.8018274
BNED,-0.5472973
BOH,15.339573
BOKF,10.660165
BOOM,6.754166
BOOT,20.982592
BOTJ,
BOX,14.4375
BPMC,-33.11511
BPOP,7.7745275
BPRN,8.823881
BPTH,-0.14867462
BR,22.794205
BRC,13.624715
BRID,
BRKL,8.166667
BRKR,23.572271
BRN,
BRO,21.242188
BRT,-37.08163
BRX,23.594738
BRY,8.608911
BSET,10.496241
BSGM,-1.0073078
BSRR,8.278226
BSX,27.367424
BTU,8.493297
BURL,20.023941
BUSE,9.701299
BV,14.297468
BW,4.01
BWA,7.6356325
BWEN,7.5862074
BWFG,6.534119
BWXT,28.34503
BXC,10.313489
BXMT,9.295812
BXP,30.711166
BY,8.575099
BYD,8.066971
BYFC,
BYND,-3.5331938
BZH,5.197782
C,9.219911
CABO,9.369451
CAC,9.223404
CACC,12.28981
CACI,17.460972
CADE,10.089605
CAG,11.400369
CAH,13.036802
CAKE,10.128281
CAL,7.3980002
CALA,-0.014814815
CALM,24.21179
CALX,21.984253
CAMP,3.2777777
CAPR,52.800003
CAR,5.6961584
CARA,-0.725
CARG,14.619355
CARS,24.529411
CASA,-0.175
CASH,7.6288657
CASI,6.882353
CASS,14.177631
CASY,22.845879
CAT,15.039138
CATC,10.0672
CATO,3.7
CATY,8.354241
CB,10.56459
CBAN,7.069103
CBAY,-30.933334
CBFV,9.763816
CBOE,20.027313
CBRE,15.822842
CBRL,11.490119
CBSH,15.801724
CBT,12.216074
CBU,12.5172415
CBZ,23.164516
CC,7.2877984
CCBG,9.710432
CCI,36.859924
CCK,12.477105
CCL,10.517483
CCNE,7.9430385
CCO,-10.214285
CCOI,-20.932629
CCRN,14.554621
CCS,6.7933106
CDE,16.642857
CDLX,31.9125
CDMO,-82.44444
CDNA,-17.978262
CDNS,40.629524
CDTX,-9.127819
CDW,21.450928
CDXC,72.6
CDXS,-4.470588
CDZI,-11.842106
CE,11.242641
CEI,
CEIX,6.259396
CELC,-4.7109146
CELH,46.915585
CENT,16.626017
CENTA,14.894515
CENX,18.648937
CERS,-28.583334
CETX,2.6363637
CEVA,40.61
CF,13.326633
CFBK,8.338964
CFFI,
CFFN,9.846938
CFG,8.555693
CFR,12.479191
CGNX,35.243694
CHCI,
CHCO,13.981055
CHCT,29.622223
CHD,28.681818
CHDN,16.764324
CHE,22.354471
CHEF,20.662577
CHGG,4.857759
CHH,17.17971
CHK,12.697803
CHMG,8.026316
CHMI,3.7824998
CHRS,51.625004
CHRW,18.021795
CHTR,7.477694
CHUY,14.202831
CI,11.134873
CIA,
CIEN,14.968254
CIM,6.75
CINF,16.315788
CIO,-9.540816
CIVB,7.0731707
CIX,20.881987
CIZN,
CKX,
CL,25.560055
CLAR,22.553572
CLB,13.186991
CLDT,-926.00006
CLDX,-11.919095
CLF,10.888199
CLFD,297.4
CLH,21.646534
CLIR,27.84
CLNE,47.899998
CLPR,10.575
CLRB,-1.0883392
CLRO,-1.3061429
CLW,9.635612
CLX,23.154688
CMA,8.351308
CMC,10.651575
CMCO,12.345132
CMCSA,8.45323
CMCT,6.3611107
CME,20.877254
CMG,47.889187
CMI,13.77574
CMP,17.876713
CMRX,-0.9782292
CMS,16.663889
CMT,8.383929
CMTL,2.9850745
CNA,8.299242
CNC,9.625
CNDT,-19.235294
CNFR,-12.594286
CNK,10.391566
CNMD,12.236364
CNNE,-35.945454
CNO,7.5404625
CNOB,8.521126
CNP,16.623562
CNS,21.21854
CNSL,-2.8084414
CNTY,-13.590909
CNX,13.319445
CNXN,16.407793
CODA,15.204546
