Ticker,2020_NI,2021_NI,2022_NI,2023_NI,2020_Div,2021_Div,2022_Div,2023_Div,2020_2021_Div_Grow,2021_2022_Div_Grow,2022_2023_Div_Grow
AAON,79009000.0,58758000.0,100376000.0,177623000.0,0.253334,0.253334,0.286667,0.32,0.0,0.1315772853229333,0.1162777717700328
AAPL,57411000000.0,94680000000.0,99803000000.0,96995000000.0,0.8075,0.865,0.91,0.95,0.0712074303405572,0.0520231213872832,0.0439560439560438
AAT,35588000.0,36593000.0,55877000.0,64690000.0,1.0,1.16,1.28,1.32,0.1599999999999999,0.103448275862069,0.03125
ABBV,4616000000.0,11542000000.0,11836000000.0,4863000000.0,4.72,5.2,5.64,5.92,0.1016949152542373,0.0846153846153845,0.049645390070922
ABCB,261988000.0,376913000.0,346540000.0,269105000.0,0.6,0.6,0.6,0.6,0.0,0.0,0.0
ABM,300000.0,126300000.0,230400000.0,251300000.0,0.5549999999999999,0.76,0.78,0.88,0.3693693693693695,0.0263157894736842,0.1282051282051281
ABR,170949000.0,339300000.0,325783000.0,371434000.0,1.23,1.38,1.54,1.68,0.121951219512195,0.1159420289855073,0.0909090909090908
ABT,4495000000.0,7071000000.0,6933000000.0,5723000000.0,1.44,1.8,1.88,2.04,0.25,0.0444444444444443,0.0851063829787234
AC,18816000.0,59203000.0,-48907000.0,37451000.0,0.199502,0.2,0.2,0.2,0.0024962155767861,0.0,0.0
ACA,106600000.0,69600000.0,245800000.0,159200000.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0
ACCO,62000000.0,101900000.0,-13200000.0,-21800000.0,0.26,0.27,0.3,0.3,0.0384615384615384,0.111111111111111,0.0
ACN,5107839000.0,5906809000.0,6877169000.0,6871557000.0,3.28,3.61,4.03,4.65,0.100609756097561,0.1163434903047092,0.1538461538461538
ACNB,18394000.0,27834000.0,35752000.0,31688000.0,1.0,1.03,1.06,1.14,0.03,0.029126213592233,0.0754716981132074
ACU,8098766.0,13655679.0,3034766.0,17793160.0,0.48,0.52,0.54,0.56,0.0833333333333334,0.0384615384615384,0.037037037037037
ADC,91381000.0,122273000.0,152437000.0,169959000.0,2.405,2.604,2.805,2.919,0.0827442827442828,0.0771889400921659,0.0406417112299464
ADI,1220761000.0,1390422000.0,2748561000.0,3314579000.0,2.48,2.76,3.04,3.44,0.1129032258064515,0.1014492753623189,0.131578947368421
