,2020_Close,2020_MarketCap,2021_Close,2021_MarketCap,2022_Close,2022_MarketCap,2023_Close,2023_MarketCap
AAON,44.32666778564453,7732999168,52.779998779296875,7737925120,50.21333312988281,7737925120,73.87000274658203,7736283136
AAPL,133.72000122070312,2669749993472,178.1999969482422,2668746244096,129.92999267578125,2668669173760,192.52999877929688,2669595590656
AAT,28.360000610351562,1650207744,37.5,1650207744,26.5,1650207744,22.510000228881836,1650207744
ABBV,105.2699966430664,287181733888,135.92999267578125,287057772544,161.61000061035156,287022383104,154.97000122070312,287040077824
ABCB,37.959999084472656,3291961600,49.709999084472656,3291961600,47.13999938964844,3291961600,53.04999923706055,3289542656
ABM,37.7400016784668,2779129856,40.540000915527344,2779129856,44.41999816894531,2779129856,44.83000183105469,2779129856
ABR,14.130000114440918,2438247168,18.43000030517578,2438247168,13.1899995803833,2436352768,15.180000305175781,2436807424
ABT,108.44000244140625,184380227584,141.0,184432623616,109.79000091552734,184432279552,110.06999969482422,184375885824
AC,35.619998931884766,690527296,43.7400016784668,690527296,41.9900016784668,690527296,35.709999084472656,690527296
ACA,54.709999084472656,3711092736,52.04999923706055,3711092736,54.34000015258789,3721290496,82.63999938964844,3721290496
ACCO,8.350000381469727,460402272,8.25,460402272,5.590000152587891,460402272,6.079999923706055,460402272
ACN,257.5400085449219,189260005376,413.8299865722656,189216014336,266.8399963378906,189208838144,350.9100036621094,189203415040
ACNB,25.149999618530273,277792512,31.389999389648438,277792512,39.810001373291016,277792512,44.7599983215332,277792512
ACU,30.8799991607666,147849312,33.11000061035156,147849312,21.899999618530273,147849312,42.86000061035156,147849312
ADC,65.5999984741211,5775712768,71.27999877929688,5766625280,70.93000030517578,5766625280,62.95000076293945,5766685696
ADI,146.17999267578125,100183334912,174.77999877929688,100188291072,164.02999877929688,100178370560,198.55999755859375,100198801408
ADM,49.90999984741211,29518776320,66.86000061035156,29498705920,92.8499984741211,29493688320,72.22000122070312,29498705920
ADP,173.80999755859375,99756490752,245.55999755859375,99752378368,238.86000061035156,99715407872,232.97000122070312,99711303680
ADT,7.929999828338623,5917431296,8.350000381469727,5917431296,9.069999694824219,5917431296,6.820000171661377,5917431296
AE,25.829999923706055,75716176,27.43000030517578,75716176,38.91999816894531,75716176,26.18000030517578,75716176
AEE,76.97000122070312,19801767936,89.05999755859375,19801767936,88.91999816894531,19796436992,72.33999633789062,19793772544
AEP,81.51000213623047,45908119552,88.69000244140625,45887053824,94.94999694824219,45863358464,81.22000122070312,45844926464
AES,22.780000686645508,12716354560,24.170000076293945,12709245952,28.760000228881836,12712801280,19.25,12705692672
AFL,44.0099983215332,48219193344,58.560001373291016,48213606400,71.94000244140625,48207683584,82.5,48216313856
AGCO,102.18000030517578,8536299520,114.73999786376953,8537045504,138.69000244140625,8537045504,121.41000366210938,8537045504
AGO,30.979999542236328,4253490432,49.900001525878906,4257598976,62.2599983215332,4257598976,74.83000183105469,4255378176
AGR,45.4900016784668,14131741696,50.25,14131741696,42.97999954223633,14127872000,32.40999984741211,14124003328
AHH,11.109999656677246,934468352,15.1899995803833,934025280,11.5,934025280,12.369999885559082,934025280
AIG,37.52000045776367,50788311040,56.7400016784668,50795053056,63.2400016784668,50795053056,67.75,50788311040
AIN,73.12999725341797,2521011712,87.69999694824219,2510781696,98.58999633789062,2510781696,98.22000122070312,2510781696
AIT,77.58000183105469,7039184384,102.08000183105469,7039184384,126.02999877929688,7041114112,172.69000244140625,7041114112
AIZ,134.02999877929688,9054168064,154.7899932861328,9054428160,125.05999755859375,9054428160,168.49000549316406,9054428160
AJG,121.69999694824219,51276963840,168.75999450683594,51276963840,188.5399932861328,51263856640,224.8800048828125,51226705920
AKR,14.020000457763672,1943792768,21.790000915527344,1943229056,14.350000381469727,1945483904,16.989999771118164,1945483904
AL,44.290000915527344,5622920192,43.9900016784668,5623476736,38.41999816894531,5621282816,41.939998626708984,5626260992
ALB,149.2899932861328,14094773248,234.35000610351562,14095361024,216.86000061035156,14095361024,144.47999572753906,14098886656
