Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE,Average_Growth,Growth_Rate
A,68.2893,3.6364,-1.1164,22.465572,23.6031,Ideal 20% - 25%
AA,-352.3529,-128.6713,429.2683,15.480176,-17.251966666666647,Not Ideal
AAL,-77.5689,-106.3723,547.2441,4.2087226,121.10096666666668,Not Ideal
AAN,-141.3422,-104.8029,-153.4659,10.161764,-133.20366666666666,Not Ideal
AAOI,-7.3394,22.5896,-15.5865,11.321839,-0.1120999999999998,Not Ideal
AAON,-25.6313,70.8295,76.9576,32.112625,40.7186,Not Ideal
AAP,21.0121,-22.1605,-93.5971,16.400002,-31.58183333333333,Not Ideal
AAPL,64.9161,5.4109,-2.8135,23.8892,22.5045,Ideal 20% - 25%
AAT,2.824,52.6986,15.7721,29.246574,23.7649,Ideal 20% - 25%
ABBV,150.0433,2.5472,-58.9135,13.463576,31.225666666666665,Not Ideal
ABCB,43.8665,-8.0584,-22.3452,9.709612,4.487633333333335,Not Ideal
ABEO,0.8334,-53.2636,36.5075,-2.1789472,-5.307566666666666,Not Ideal
ABG,109.2767,87.3216,-39.5869,6.740622,52.33713333333333,Not Ideal
ABIO,98.4186,-48.6285,-46.212,-0.3965909,1.1926999999999974,Not Ideal
ABM,42000.0,82.4228,9.0712,12.071824,14030.498,Not Ideal
ABR,98.4802,-3.9838,14.0127,7.502924,36.1697,Not Ideal
ABT,57.3081,-1.9516,-17.4528,20.616732,12.634566666666666,Not Ideal
AC,214.6418,-182.609,-176.576,12.544403,-48.18106666666667,Not Ideal
ACA,-34.7092,253.1609,-35.2319,19.392857,61.07326666666666,Not Ideal
ACAD,-40.3837,28.6561,-71.6236,13.261904,-27.78373333333333,Not Ideal
ACCO,64.3548,-112.9539,65.1515,3.8560002,5.517466666666664,Not Ideal
ACGL,53.4662,-31.5716,201.0163,10.838934,74.30363333333334,Not Ideal
ACHC,-128.3627,43.2785,-107.9326,18.347395,-64.33893333333333,Not Ideal
ACHV,125.0645,27.7449,-29.5986,-4.8777776,41.07026666666666,Not Ideal
ACIW,75.8753,11.2574,-14.5368,19.941519,24.198633333333333,Ideal 20% - 25%
ACLS,97.3711,85.5844,34.5119,12.294537,72.48913333333333,Not Ideal
ACM,-192.9254,79.3521,-82.1861,18.252964,-65.25313333333334,Not Ideal
ACMR,101.049,3.9887,97.0023,13.794595,67.34666666666668,Not Ideal
ACN,15.642,16.4278,-0.0816,22.935213,10.662733333333334,Not Ideal
ACNB,51.3211,28.4472,-11.3672,9.244319,22.800366666666665,Ideal 20% - 25%
ACOR,4.3778,-36.5912,283.6003,-0.6885417,83.79563333333333,Not Ideal
ACRE,176.8315,-50.736,-230.4919,8.594936,-34.79879999999999,Not Ideal
ACRS,78.1143,-4.3548,1.81,-1.4756098,25.189833333333336,Not Ideal
ACTG,36.5885,-183.8254,-153.6201,8.396552,-100.28566666666666,Not Ideal
ACU,68.6143,-77.7765,486.3108,15.795367,159.04953333333333,Not Ideal
