Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE
A,68.2893,3.6364,-1.1164,22.465572
AA,-352.3529,-128.6713,429.2683,15.480176
AAL,-77.5689,-106.3723,547.2441,4.2087226
AAME,-64.8204,-64.3775,,
AAN,-141.3422,-104.8029,-153.4659,10.161764
AAOI,-7.3394,22.5896,-15.5865,11.321839
AAON,-25.6313,70.8295,76.9576,32.112625
AAP,21.0121,-22.1605,-93.5971,16.400002
AAPL,64.9161,5.4109,-2.8135,23.8892
AAT,2.824,52.6986,15.7721,29.246574
ABBV,150.0433,2.5472,-58.9135,13.463576
ABCB,43.8665,-8.0584,-22.3452,9.709612
ABEO,0.8334,-53.2636,36.5075,-2.1789472
ABG,109.2767,87.3216,-39.5869,6.740622
ABIO,98.4186,-48.6285,-46.212,-0.3965909
ABM,42000.0,82.4228,9.0712,12.071824
ABMD,,-39.4723,,60.768738
ABR,98.4802,-3.9838,14.0127,7.502924
ABT,57.3081,-1.9516,-17.4528,20.616732
AC,214.6418,-182.609,-176.576,12.544403
ACA,-34.7092,253.1609,-35.2319,19.392857
ACAD,-40.3837,28.6561,-71.6236,13.261904
ACCO,64.3548,-112.9539,65.1515,3.8560002
ACGL,53.4662,-31.5716,201.0163,10.838934
ACHC,-128.3627,43.2785,-107.9326,18.347395
ACHV,125.0645,27.7449,-29.5986,-4.8777776
ACIW,75.8753,11.2574,-14.5368,19.941519
ACLS,97.3711,85.5844,34.5119,12.294537
ACM,-192.9254,79.3521,-82.1861,18.252964
ACMR,101.049,3.9887,97.0023,13.794595
ACN,15.642,16.4278,-0.0816,22.935213
ACNB,51.3211,28.4472,-11.3672,9.244319
ACOR,4.3778,-36.5912,283.6003,-0.6885417
ACRE,176.8315,-50.736,-230.4919,8.594936
ACRS,78.1143,-4.3548,1.81,-1.4756098
ACTG,36.5885,-183.8254,-153.6201,8.396552
ACU,68.6143,-77.7765,486.3108,15.795367
ADBE,-8.327,-1.3687,14.1295,22.721157
ADC,33.8057,24.6694,11.4946,30.763441
ADI,13.898,97.6782,20.5932,26.50066
ADM,52.8781,60.2067,-19.7465,10.291228
ADMA,-5.4134,-8.017,-57.1513,13.04
ADNT,-302.5594,-110.8303,-270.8333,7.5620255
ADP,5.3517,13.4847,15.7042,24.189
ADSK,,-58.8576,65.5936,23.364437
ADT,-46.0892,-138.9247,249.0114,7.6470585
ADTN,-463.1203,-76.41,13041.2862,11.526317
ADUS,36.1965,1.9922,35.8305,18.279467
ADVM,23.8565,6.1811,-24.1827,-1.7900554
ADXS,33.5302,-5.5671,26.462,-0.9109589
AE,1094.7739,-70.6679,-93.9203,-92.1875
AEE,13.6625,8.4848,7.2626,15.07551
AEHR,-27.6588,-566.2062,54.0423,22.603773
AEIS,0.0453,48.1861,-35.7488,16.610052
AEL,-17.6387,247.2223,-89.0361,7.958865
AEMD,,32.0715,15.4923,-0.5247148
AEO,,-300.5165,-70.1794,12.569948
AEP,13.0903,-7.2706,-4.2952,14.434564
AES,-989.1304,33.4963,-145.6044,8.647343
AFG,172.541,-54.9875,-5.1225,10.690376
AFL,-11.4483,4.4198,5.455,12.140784
AGCO,110.0211,-0.825,31.6772,9.077106
AGE,-20.1565,20.5994,41.493,
AGEN,-86.7749,819.8111,11.672,-0.93880713
AGIO,-590.1839,-114.445,51.8924,-5.517827
AGM,25.2568,30.9026,12.2704,10.126769
AGNC,-381.5789,-258.8785,-113.0252,4.5979896
AGO,7.4586,-68.1234,495.9677,11.362963
AGR,21.6867,24.611,-10.7832,15.157676
AGRX,37.0548,-64.2422,-43.0781,0.40454543
AGS,-73.5623,-64.4028,-105.3267,18.040815
AGX,,60.3455,-13.4557,13.51121
AGYS,,-130.8462,125.1003,65.39371
AHH,-24.904,241.4352,-88.9133,-61.882355
AHT,-50.907,-47.6321,27.6517,-0.3046875
AIG,-274.4112,-1.3504,-64.3786,9.544993
AIN,20.1737,-19.1732,16.0377,16.93206
AINC,-95.3264,-136.7355,-226.9336,0.70863837
AIR,713.6364,119.8324,14.6125,16.74092
AIRG,207.6243,-14.1568,43.527,16.375
AIRI,48.4489,-166.134,98.0483,-12.4561405
AIRT,,-250.1718,-212.5092,
AIT,502.1005,77.8249,34.7009,18.071991
AIV,17.2386,-1381.3198,-319.4702,-47.058823
AIZ,208.9383,-79.6886,132.2849,10.30124
AJG,10.7474,22.8716,-12.9869,20.714033
AJX,46.8803,-135.8643,213.5767,7.666667
AKAM,16.98,-19.6381,4.5748,13.769441
AKBA,-26.7167,-66.5894,-44.8931,-3.9375
AKR,-362.344,-250.5223,-156.0671,49.371433
AKTS,22.1804,33.6783,7.6745,-1.7267648
AL,-15.4247,-122.221,-733.4742,9.461394
ALB,-67.0879,2074.9596,-41.5025,13.517978
ALCO,47.3206,-64.2589,-85.2717,59.38298
ALDX,53.8496,7.3531,-39.4716,-13.586207
ALE,-2.8703,11.8794,30.5335,14.235578
ALEC,-80.9024,266.952,-2.1896,-2.8700564
ALEX,532.1429,-242.9379,-158.8933,21.96
ALG,38.8226,27.021,33.5855,14.516804
ALGN,-56.5277,-53.1653,23.088,25.977922
ALGT,-182.4871,-98.3583,4617.0477,6.6699266
ALIM,-18.112,314.1583,11.1835,18.4
ALK,-136.1027,-87.8661,,6.839428
ALKS,-56.5501,228.5661,-324.7828,9.511628
ALL,-71.0545,-179.8637,-85.4151,10.03896
ALLE,53.6748,-5.176,17.9913,16.01581
ALLK,75.8275,18.5622,-41.9597,-1.5
ALLO,-42.4583,86.9883,-3.8626,-1.725
ALLY,182.0276,-43.9869,-40.4901,7.1415267
ALNY,-0.6358,32.6365,-61.0803,-81.78977
ALOT,,400.7009,-58.6094,49.34286
ALPN,80.1467,14.7597,-44.2817,-34.174603
ALRM,-32.8748,7.8054,43.8514,29.424778
ALSN,47.8261,20.1357,-100.0,8.463752
ALT,97.9632,-12.748,4.4078,-3.5405407
ALTM,-103.681,45483.3333,,14.193548
ALTR,-16.2476,393.8481,-79.4469,56.65493
ALV,132.6203,-2.7586,15.3664,9.990826
ALX,216.9603,-56.6449,77.7016,16.261337
AM,-370.6481,-1.6208,-100.0,14.122449
AMAL,14.612,53.9131,7.9789,7.5045877
AMAT,62.6969,10.8186,5.0728,20.779287
AMBC,-96.1098,-3164.7059,-99.2322,41.285713
AMC,-72.3453,-23.2842,-59.2646,-3.6625001
AMCX,4.4241,-96.9696,2737.2926,2.0344827
AMD,26.988,-58.2543,-35.303,28.640144
AME,13.4811,17.1192,13.2506,23.319094
AMED,13.8687,-43.2688,-108.2178,18.373253
AMG,179.7725,102.5632,-41.2776,6.3096204
AMGN,-18.8739,11.1828,2.5183,13.044762
AMH,34.7059,44.4471,39.1853,51.884056
AMKR,90.1576,19.1025,-53.0162,13.88412
AMN,363.2958,35.6342,-52.5551,13.124726
AMNB,44.8694,-20.9024,-24.0182,19.899998
AMP,122.751,-7.8431,-18.8314,10.793971
AMPE,7.4305,-4.3221,-47.1629,-2.7888887
AMPH,4327.3699,47.1215,50.5099,9.63785
AMRC,30.3523,34.7271,-34.1908,10.361386
AMRK,423.2456,-16.9766,17.9755,7.4341373
AMRX,-88.3328,-1323.5128,-35.383,9.166667
AMS,-102.7487,584.5361,-54.0663,7.24881
AMSC,,-15.3673,82.5718,308.75003
AMSF,-24.071,-15.4419,11.701,18.92116
AMSWA,,58.0171,-18.4713,26.605263
AMT,51.881,-31.2303,-15.9984,23.278154
AMTD,6.6789,0.683,,
AMTX,28.6096,128.5575,-56.922,-7.8
AMWD,,-148.5709,-415.3321,10.118681
AMZN,56.4109,-108.1585,-1217.7443,33.081287
AN,259.8008,0.3205,-25.8676,8.04945
ANAB,189.9804,122.7213,27.1084,-4.083893
ANDE,1248.716,26.0554,-22.8029,14.159793
ANET,32.5104,60.842,54.3367,29.832556
ANF,,-330.668,-98.9293,15.021013
ANGI,1036.0497,79.9574,-68.1277,35.166664
ANGO,-81.0849,-15.852,97.544,-11.816326
ANIK,-117.2379,-459.434,456.343,63.14634
ANIP,88.9436,12.424,-139.2079,13.173652
ANIX,29.3027,4.9483,-27.8338,-6.6000004
ANSS,4.78,15.1955,-4.4486,30.334267
AON,-36.2621,106.2948,-0.9656,16.068947
AOS,41.2293,-51.6116,136.1476,18.999998
