Ticker,2023_PE,Gsector
A,22.465572,Healthcare
AA,15.480176,Basic Materials
AAL,4.2087226,Industrials
AAME,,Financial Services
AAN,10.161764,Industrials
AAOI,11.321839,Technology
AAON,32.112625,Industrials
AAP,16.400002,Consumer Cyclical
AAPL,23.8892,Technology
AAT,29.246574,Real Estate
ABBV,13.463576,Healthcare
ABCB,9.709612,Financial Services
ABEO,-2.1789472,Healthcare
ABG,6.740622,Consumer Cyclical
ABIO,-0.3965909,Healthcare
ABM,12.071824,Industrials
ABMD,60.768738,
ABR,7.502924,Real Estate
ABT,20.616732,Healthcare
AC,12.544403,Financial Services
ACA,19.392857,Industrials
ACAD,13.261904,Healthcare
ACCO,3.8560002,Industrials
ACGL,10.838934,Financial Services
ACHC,18.347395,Healthcare
ACHV,-4.8777776,Healthcare
ACIW,19.941519,Technology
ACLS,12.294537,Technology
ACM,18.252964,Industrials
ACMR,13.794595,Technology
ACN,22.935213,Technology
ACNB,9.244319,Financial Services
ACOR,-0.6885417,Healthcare
ACRE,8.594936,Real Estate
ACRS,-1.4756098,Healthcare
ACTG,8.396552,Industrials
ACU,15.795367,Consumer Defensive
ADBE,22.721157,Technology
ADC,30.763441,Real Estate
ADI,26.50066,Technology
ADM,10.291228,Consumer Defensive
ADMA,13.04,Healthcare
ADNT,7.5620255,Consumer Cyclical
ADP,24.189,Industrials
ADSK,23.364437,Technology
ADT,7.6470585,Industrials
ADTN,11.526317,Technology
ADUS,18.279467,Healthcare
ADVM,-1.7900554,Healthcare
ADXS,-0.9109589,Healthcare
AE,-92.1875,Energy
AEE,15.07551,Utilities
AEHR,22.603773,Technology
AEIS,16.610052,Industrials
AEL,7.958865,Financial Services
AEMD,-0.5247148,Healthcare
AEO,12.569948,Consumer Cyclical
AEP,14.434564,Utilities
AES,8.647343,Utilities
AFG,10.690376,Financial Services
AFL,12.140784,Financial Services
AGCO,9.077106,Industrials
AGE,,Healthcare
AGEN,-0.93880713,Healthcare
AGIO,-5.517827,Healthcare
AGM,10.126769,Financial Services
