Ticker,2023_PE,Gsector,Avg_PE_Gsector
A,22.465572,Healthcare,
ABBV,13.463576,Healthcare,
ABEO,-2.1789472,Healthcare,
ABIO,-0.3965909,Healthcare,
ABT,20.616732,Healthcare,
ACAD,13.261904,Healthcare,
ACHC,18.347395,Healthcare,
ACHV,-4.8777776,Healthcare,
ACOR,-0.6885417,Healthcare,
ACRS,-1.4756098,Healthcare,
ADMA,13.04,Healthcare,
ADUS,18.279467,Healthcare,
ADVM,-1.7900554,Healthcare,
ADXS,-0.9109589,Healthcare,
AEMD,-0.5247148,Healthcare,
AGEN,-0.93880713,Healthcare,
AGIO,-5.517827,Healthcare,
AGRX,0.40454543,Healthcare,
AKBA,-3.9375,Healthcare,
ALDX,-13.586207,Healthcare,
ALEC,-2.8700564,Healthcare,
ALGN,25.977922,Healthcare,
ALIM,18.4,Healthcare,
ALKS,9.511628,Healthcare,
ALLK,-1.5,Healthcare,
ALLO,-1.725,Healthcare,
ALNY,-81.78977,Healthcare,
ALPN,-34.174603,Healthcare,
ALT,-3.5405407,Healthcare,
AMED,18.373253,Healthcare,
AMGN,13.044762,Healthcare,
AMN,13.124726,Healthcare,
AMPE,-2.7888887,Healthcare,
AMPH,9.63785,Healthcare,
AMRX,9.166667,Healthcare,
AMS,7.24881,Healthcare,
ANAB,-4.083893,Healthcare,
ANGO,-11.816326,Healthcare,
ANIK,63.14634,Healthcare,
ANIP,13.173652,Healthcare,
ANIX,-6.6000004,Healthcare,
APDN,-0.37735847,Healthcare,
APLS,40.916664,Healthcare,
APVO,-0.08806691,Healthcare,
APYX,-2.0428572,Healthcare,
ARAY,16.384617,Healthcare,
ARDX,160.0,Healthcare,
ARVN,-5.70377,Healthcare,
ARWR,-8.503759,Healthcare,
ASMB,-0.7912437,Healthcare,
ASRT,inf,Healthcare,
ATEC,-16.605263,Healthcare,
ATNM,-70.0,Healthcare,
ATOS,-5.0333333,Healthcare,
ATR,24.893103,Healthcare,
ATRA,-1.5,Healthcare,
ATRC,-42.315792,Healthcare,
AVGR,-0.42988506,Healthcare,
AVNS,9.772973,Healthcare,
AVRO,-3.6060607,Healthcare,
AVXL,-5.7031255,Healthcare,
AXDX,-0.454433,Healthcare,
AXGN,37.70588,Healthcare,
AXNX,79.25,Healthcare,
AXSM,59.96748,Healthcare,
BAX,12.498451,Healthcare,
BCLI,-1.3482143,Healthcare,
BCRX,-11.8,Healthcare,
BDX,16.348433,Healthcare,
BEAT,-3.4067798,Healthcare,
BHVN,-6.6552315,Healthcare,
BIIB,12.374424,Healthcare,
BIO,22.479166,Healthcare,
BIOL,-1.3481818,Healthcare,
BKD,-11.706897,Healthcare,
BLCM,-0.07786459,Healthcare,
BLFS,-38.97778,Healthcare,
BLUE,-0.5509938,Healthcare,
BMRN,30.590908,Healthcare,
BMY,6.3041606,Healthcare,
BPMC,-32.856113,Healthcare,
BPTH,-0.1537208,Healthcare,
BRKR,23.011799,Healthcare,
BSGM,-1.2769231,Healthcare,
BSX,27.223484,Healthcare,
CAH,13.076142,Healthcare,
CALA,-0.014814815,Healthcare,
CAPR,52.7,Healthcare,
CARA,-0.73715687,Healthcare,
CASI,6.9235296,Healthcare,
CBAY,-30.933334,Healthcare,
CCRN,14.789916,Healthcare,
CDMO,-84.77778,Healthcare,
CDNA,-16.869566,Healthcare,
CDTX,-9.007518,Healthcare,
CDXC,70.799995,Healthcare,
CDXS,-4.279412,Healthcare,
CELC,-4.6519175,Healthcare,
CERS,-27.833334,Healthcare,
CHE,22.371014,Healthcare,
CHRS,49.000004,Healthcare,
CI,11.14705,Healthcare,
CLDX,-12.110032,Healthcare,
CLRB,-1.0918728,Healthcare,
CMRX,-0.9791667,Healthcare,
CNC,9.613157,Healthcare,
CNMD,12.360001,Healthcare,
COLL,10.06267,Healthcare,
COO,22.546835,Healthcare,
COR,16.317408,Healthcare,
CORT,18.21875,Healthcare,
CPIX,11.428572,Healthcare,
CPRX,10.598592,Healthcare,
CPSI,4.994565,Healthcare,
CRBP,-7.2343755,Healthcare,
CRIS,-2.998047,Healthcare,
CRL,18.42317,Healthcare,
CRMD,-58.38889,Healthcare,
CRNX,-12.378531,Healthcare,
CRVS,-2.012987,Healthcare,
CTLT,36.74342,Healthcare,
CTMX,-3.8809526,Healthcare,
CTSO,-4.0499997,Healthcare,
CUE,-1.9,Healthcare,
CUTR,-0.73333335,Healthcare,
CVM,-2.9795918,Healthcare,
CVS,7.408096,Healthcare,
CWBR,-0.21938775,Healthcare,
CYCC,-0.0869922,Healthcare,
CYH,14.347826,Healthcare,
CYTK,-18.638298,Healthcare,
DARE,-3.8437502,Healthcare,
DCPH,-15.99367,Healthcare,
DGX,14.59134,Healthcare,
DHR,28.445213,Healthcare,
DNLI,-5.96139,Healthcare,
DRRX,-0.7801626,Healthcare,
DVA,13.790674,Healthcare,
