Ticker,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow,2023_PE,Average_Growth,Growth_Rate
A,68.2893,3.6364,-1.1164,22.465572,23.6031,Ideal 20% - 25%
AAPL,64.9161,5.4109,-2.8135,23.8892,22.5045,Ideal 20% - 25%
BRO,22.1852,14.4268,29.5773,21.234375,22.0631,Ideal 20% - 25%
CRAI,70.0698,4.6546,-11.7793,21.72006,20.9817,Ideal 20% - 25%
CW,30.5062,11.9922,20.4387,22.851217,20.979033333333334,Ideal 20% - 25%
KEYS,42.5837,25.7271,-5.9609,20.127892,20.7833,Ideal 20% - 25%
LSTR,98.6008,12.9455,-38.6434,21.965996,24.300966666666667,Ideal 20% - 25%
MSI,31.1907,9.4779,25.3852,24.487364,22.01793333333333,Ideal 20% - 25%
ROG,116.2432,7.8631,-51.458,25.50107,24.2161,Ideal 20% - 25%
RPM,65.134,-2.2207,-2.6023,19.297834,20.103666666666665,Ideal 20% - 25%
