,2020_NI,2021_NI,2022_NI,2023_NI,2024_NI
A,719000000.0,1210000000.0,1254000000.0,1240000000.0,
AA,-170000000.0,429000000.0,-123000000.0,-651000000.0,
AAL,-8885000000.0,-1993000000.0,127000000.0,822000000.0,
AAME,12169000.0,4281000.0,1525000.0,,
AAN,-265912000.0,109934000.0,-5280000.0,2823000.0,
AAOI,-58452000.0,-54162000.0,-66397000.0,-56048000.0,
AAON,79009000.0,58758000.0,100376000.0,177623000.0,
AAP,493021000.0,596615000.0,464402000.0,29735000.0,
AAPL,57411000000.0,94680000000.0,99803000000.0,96995000000.0,
AAT,35588000.0,36593000.0,55877000.0,64690000.0,
ABBV,4616000000.0,11542000000.0,11836000000.0,4863000000.0,
ABCB,261988000.0,376913000.0,346540000.0,269105000.0,
ABEO,-84234000.0,-84936000.0,-39696000.0,-54188000.0,
ABG,254400000.0,532400000.0,997300000.0,602500000.0,
ABIO,-9738000.0,-19322000.0,-9926000.0,-5339000.0,
ABM,300000.0,126300000.0,230400000.0,251300000.0,
ABMD,,225525000.0,136505000.0,,
ABR,170949000.0,339300000.0,325783000.0,371434000.0,
ABT,4495000000.0,7071000000.0,6933000000.0,5723000000.0,
AC,18816000.0,59203000.0,-48907000.0,37451000.0,
ACA,106600000.0,69600000.0,245800000.0,159200000.0,
ACAD,-281584000.0,-167870000.0,-215975000.0,-61286000.0,
ACCO,62000000.0,101900000.0,-13200000.0,-21800000.0,
ACGL,1405521000.0,2157000000.0,1476000000.0,4443000000.0,
ACHC,-672132000.0,190635000.0,273139000.0,-21667000.0,
ACHV,-14730000.0,-33152000.0,-42350000.0,-29815000.0,
ACIW,72660000.0,127791000.0,142177000.0,121509000.0,
ACLS,49982000.0,98650000.0,183079000.0,246263000.0,
ACM,-186370000.0,173185000.0,310611000.0,55332000.0,
ACMR,18780000.0,37757000.0,39263000.0,77349000.0,
ACN,5107839000.0,5906809000.0,6877169000.0,6871557000.0,
ACNB,18394000.0,27834000.0,35752000.0,31688000.0,
ACOR,-99594000.0,-103954000.0,-65916000.0,-252854000.0,
ACRE,21840000.0,60460000.0,29785000.0,-38867000.0,
ACRS,-51015000.0,-90865000.0,-86908000.0,-88481000.0,
ACTG,109231000.0,149197000.0,-125065000.0,67060000.0,
ACU,8098766.0,13655679.0,3034766.0,17793160.0,
ADBE,5260000000.0,4822000000.0,4756000000.0,5428000000.0,
ADC,91381000.0,122273000.0,152437000.0,169959000.0,
ADI,1220761000.0,1390422000.0,2748561000.0,3314579000.0,
ADM,1772000000.0,2709000000.0,4340000000.0,3483000000.0,
ADMA,-75748548.0,-71648000.0,-65904000.0,-28239000.0,
ADNT,-547000000.0,1108000000.0,-120000000.0,205000000.0,
ADP,2466500000.0,2598500000.0,2948900000.0,3412000000.0,
ADSK,,1208000000.0,497000000.0,823000000.0,
ADT,-632193000.0,-340820000.0,132663000.0,463009000.0,
ADTN,2378000.0,-8635000.0,-2037000.0,-267688000.0,
ADUS,33133000.0,45126000.0,46025000.0,62516000.0,
ADVM,-117507000.0,-145540000.0,-154536000.0,-117165000.0,
ADXS,-30146000.0,-40254000.0,-38013000.0,-48072000.0,
AE,995000.0,11888000.0,3487000.0,212000.0,
AEE,871000000.0,990000000.0,1074000000.0,1152000000.0,
AEHR,-2802000.0,-2027000.0,9450000.0,14557000.0,
AEIS,134675000.0,134736000.0,199660000.0,128284000.0,
AEL,671460000.0,553023000.0,1920219000.0,210530000.0,
AEMD,,-7886709.0,-10416091.0,-12029786.0,
AEO,,-209274000.0,419629000.0,125136000.0,170038000.0
AEP,2200100000.0,2488100000.0,2307200000.0,2208100000.0,
AES,46000000.0,-409000000.0,-546000000.0,249000000.0,
AFG,732000000.0,1995000000.0,898000000.0,852000000.0,
AFL,4778000000.0,4231000000.0,4418000000.0,4659000000.0,
AGCO,427100000.0,897000000.0,889600000.0,1171400000.0,
AGE,-10865000.0,-8675000.0,-10462000.0,-14803000.0,
AGEN,-180914000.0,-23926000.0,-220074000.0,-245761000.0,
AGIO,-327370000.0,1604715000.0,-231801000.0,-352088000.0,
AGM,108648000.0,136089000.0,178144000.0,200003000.0,
AGNC,-266000000.0,749000000.0,-1190000000.0,155000000.0,
AGO,362000000.0,389000000.0,124000000.0,739000000.0,
AGR,581000000.0,707000000.0,881000000.0,786000000.0,
AGRX,-51853000.0,-71067000.0,-25412000.0,-14465000.0,
AGS,-85378000.0,-22572000.0,-8035000.0,428000.0,
AGX,,23851000.0,38244000.0,33098000.0,32358000.0
AGYS,,-21001000.0,6478000.0,14582000.0,
AHH,29152000.0,21892000.0,74747000.0,8287000.0,
AHT,-543876000.0,-267005000.0,-139825000.0,-178489000.0,
AIG,-5944000000.0,10367000000.0,10227000000.0,3643000000.0,
AIN,98589000.0,118478000.0,95762000.0,111120000.0,
AINC,-212365000.0,-9925000.0,3646000.0,-4628000.0,
AIR,4400000.0,35800000.0,78700000.0,90200000.0,
