Ticker,2023_MarketCap
A,40160256000
AA,6309703680
AAL,8863775744
AAME,38368564
AAN,211622208
AAOI,378221312
AAON,7724788736
AAP,4350301696
AAPL,2630218678272
AAT,1645583232
ABBV,287978520576
ABCB,3281594112
ABEO,113249696
ABG,4241003520
ABIO,50608840
ABM,2765838592
ABMD,17180649472
ABR,2430669056
ABT,183877025792
AC,695666176
ACA,3691667968
ACAD,2760542208
ACCO,457554432
ACGL,35105562624
ACHC,6834119680
ACHV,150365840
ACIW,3623329536
ACLS,3375031296
ACM,12563176448
ACMR,1582459520
ACN,189190848512
ACNB,277877952
ACOR,821028
ACRE,369529440
ACRS,85819256
ACTG,487107136
ACU,149125136
ADBE,207347826688
ADC,5777732608
ADI,99484106752
ADM,29433477120
ADMA,1511153408
ADNT,2725515264
ADP,99366240256
ADSK,45531811840
ADT,5917431296
ADTN,346527200
ADUS,1574004352
ADVM,201737632
ADXS,28324944
AE,75716176
AEE,19687168000
AEHR,346398080
AEIS,3583965440
AEL,4455134208
AEMD,3629013
AEO,4783028736
AEP,45302538240
AES,12723463168
AFG,10712782848
AFL,48132878336
AGCO,8520629760
AGE,27758326
AGEN,253865520
AGIO,1845122560
AGM,1958292352
AGNC,6590745088
AGO,4258153728
AGR,14133675008
AGRX,3051022
AGS,346726912
AGX,797848384
AGYS,2272563712
AHH,932252992
AHT,50527384
AIG,50761347072
AIN,2491102976
AINC,16606428
AIR,2449429760
AIRG,55044100
AIRI,23539126
AIRT,72851128
AIT,7073926656
AIV,1158496000
AIZ,9077851136
AJG,51283521536
AJX,127611360
AKAM,15463586816
AKBA,263808720
AKR,1948302848
AKTS,57889824
AL,5595078144
ALB,14139432960
ALCO,212695696
ALDX,234093136
ALE,3414939136
ALEC,489633760
ALEX,1195591808
ALG,2341346048
ALGN,21257367552
ALGT,997700544
ALIM,192664560
ALK,5407872000
ALKS,4151775488
ALL,44854857728
ALLE,10629292032
ALLK,92971720
ALLO,471195488
ALLY,11657554944
ALNY,18202765312
ALOT,133724032
ALPN,4234552576
ALRM,3337548544
ALSN,6434021888
ALT,464364192
ALTM,4727756288
ALTR,6679763456
ALV,9747863552
ALX,1080498304
AM,6660375552
AMAL,748725248
AMAT,165057691648
AMBC,653501248
AMC,809816832
AMCX,462623136
AMD,255964266496
AME,40383488000
AMED,3007908864
AMG,5066459648
AMGN,146934841344
AMH,14953624576
AMKR,7963113984
AMN,2272552192
AMNB,507722208
AMP,41257652224
AMPE,284975
AMPH,2015718400
AMRC,1095271040
AMRK,915779840
AMRX,1866751616
AMS,19271686
AMSC,446283328
AMSF,872555968
AMSWA,335855200
AMT,80111992832
AMTD,1833371648
AMTX,166173936
AMWD,1459035264
AMZN,1820472508416
AN,6488946176
ANAB,664934720
ANDE,1870695936
ANET,80459522048
ANF,6200849408
ANGI,1062218240
ANGO,231915552
ANIK,383909856
ANIP,1384699776
ANIX,94742408
ANSS,28362024960
AON,61317722112
AOS,12150141952
AOSL,618448640
AP,40724684
APA,11681626112
APAM,2861277184
APD,52538613760
APDN,3452000
APEI,242828528
APH,72534949888
APLE,3577027072
APLS,5359981568
APOG,1367086336
APPF,8212452352
APPN,2704523264
APPS,194860112
APT,68428136
APTV,19360208896
APVO,2554298
APYX,49540776
AQB,7406284
AQMS,53080952
AR,10570546176
ARAY,211229552
ARC,112901984
ARCB,2606806528
ARCH,2876569600
ARDX,1489190400
ARE,20263694336
ARES,41225424896
ARI,1369020032
ARKR,49016576
ARL,222574560
ARLO,1204316544
ARMK,8269925376
AROC,2999185920
AROW,368637536
ARR,885820224
ARTNA,359125664
ARTW,9578917
ARVN,2170157824
ARW,6891460608
ARWR,2802550272
ASB,3176070912
ASGN,4484924928
ASH,4775556608
ASIX,677344384
ASMB,68369896
ASPN,1202094464
ASPS,53649804
ASRT,84192656
ASRV,41496468
ASTC,15570829
ASTE,950674112
ASUR,190389312
ASYS,68400624
ATEC,1764351744
ATEN,972907328
ATGE,1944513536
ATI,7429068288
ATKR,6445483008
ATLC,391552576
ATLO,173099280
ATNI,295381280
ATNM,229332176
ATO,17784035328
ATOS,189209040
ATR,9567138816
ATRA,82357712
ATRC,1166795392
ATRI,744922688
ATRO,580010560
ATSG,842067584
ATUS,880074176
AUBN,64668388
AUMN,7203582
AVA,2813132288
AVAV,4495803392
AVB,26953822208
AVD,327976192
AVGO,602572390400
AVGR,5933248
AVNS,835370112
AVNW,419707200
AVRO,53404584
AVT,4416069120
AVTR,16458614784
AVXL,299710624
AVY,17495472128
AWI,5032697344
AWK,23830626304
AWR,2637295104
AWRE,41326600
AX,2879638272
AXDX,19099336
AXGN,280146464
AXL,862743616
AXNX,3395296256
AXP,168338472960
AXR,106923256
AXS,5193878528
AXSM,3503105792
AXTA,6937047552
AXTI,132744600
AYI,7647118848
AYX,3527897856
AZO,51154292736
AZPN,12510852096
AZZ,1798041856
B,1760189440
BA,103034290176
BAC,291152822272
BAH,19159590912
BANC,2313801472
BAND,491012352
BANF,2939640576
BANR,1500662656
BATRA,2352080128
BATRK,2354115072
BAX,20562337792
BBCP,358251456
BBGI,20623788
BBSI,794184768
BBW,421642816
BBY,15860656128
BC,5476932096
BCBP,159734944
BCC,5233064448
BCLI,25799068
BCO,3911622144
BCOV,79043568
BCPC,4584034816
BCRX,852147072
BDC,3304779520
BDL,50183552
BDN,784448448
BDSI,577050112
BDX,67776413696
BE,2512964864
BEAT,52921288
BECN,6303545344
BELFA,778126976
BELFB,771034752
BEN,12026585088
BERY,6566105088
BFAM,6015325184
BFIN,120494968
BFS,1221996032
BFST,514548224
BG,14408708096
BGFV,79433704
BGS,877471744
BGSF,93659816
BH,609020608
BHB,381516960
BHE,1088846976
BHF,3015567104
BHLB,925607808
BHR,232345936
BHVN,3424425728
BIG,103884352
BIIB,31277146112
BIO,7706730496
BIOL,4931998
BJ,9929527296
BJRI,761530560
BK,42244128768
BKD,1285611904
BKE,1898716544
BKH,3749093888
BKNG,117438062592
BKSC,67137688
BKTI,49549512
BKU,1998249216
BL,3587635200
BLBD,1061104896
BLCM,778326
BLD,12874535936
BLDR,22298738688
BLFS,794562048
BLK,112260251648
BLKB,4024115968
BLMN,2245550848
BLUE,170981424
BMI,5376695296
BMRC,233864080
BMRN,15334709248
BMY,89070772224
BNED,10812012
BOH,2250354944
BOKF,5734327296
BOOM,316719456
BOOT,3226147584
BOTJ,46251204
BOX,3756065024
BPMC,5737512960
BPOP,6143493120
BPRN,184228000
BPTH,4429827
BR,22778281984
BRC,2851564288
BRID,95407464
BRKL,744059264
BRKR,11337584640
BRN,29011848
BRO,23259203584
BRT,335894208
BRX,6658707968
BRY,653212096
BSET,123425920
BSGM,18589012
BSRR,290321376
BSX,105641721856
BTU,2792786432
BURL,11491795968
BUSE,1267332608
BV,1062000000
BW,91270008
BWA,7568428032
BWEN,45948240
BWFG,181334576
BWXT,8754076672
BXC,949932992
BXMT,3062021632
BXP,9719761920
BY,955681664
BYD,5122554880
BYFC,46022352
BYND,439648448
BZH,884203584
C,116980842496
CABO,2213082624
