Ticker,2023_MarketCap,Market_Cap_Cat
A,40160256000,large-cap
AA,6309703680,mid-cap
AAL,8863775744,mid-cap
AAME,38368564,micro-cap
AAN,211622208,micro-cap
AAOI,378221312,small-cap
AAON,7724788736,mid-cap
AAP,4350301696,mid-cap
AAPL,2630218678272,mega-cap
AAT,1645583232,small-cap
ABBV,287978520576,mega-cap
ABCB,3281594112,mid-cap
ABEO,113249696,micro-cap
ABG,4241003520,mid-cap
ABIO,50608840,micro-cap
ABM,2765838592,mid-cap
ABMD,17180649472,large-cap
ABR,2430669056,mid-cap
ABT,183877025792,large-cap
AC,695666176,small-cap
ACA,3691667968,mid-cap
ACAD,2760542208,mid-cap
ACCO,457554432,small-cap
ACGL,35105562624,large-cap
ACHC,6834119680,mid-cap
ACHV,150365840,micro-cap
ACIW,3623329536,mid-cap
ACLS,3375031296,mid-cap
ACM,12563176448,large-cap
ACMR,1582459520,small-cap
ACN,189190848512,large-cap
ACNB,277877952,small-cap
ACOR,821028,micro-cap
ACRE,369529440,small-cap
ACRS,85819256,micro-cap
ACTG,487107136,small-cap
ACU,149125136,micro-cap
ADBE,207347826688,mega-cap
ADC,5777732608,mid-cap
ADI,99484106752,large-cap
ADM,29433477120,large-cap
ADMA,1511153408,small-cap
ADNT,2725515264,mid-cap
ADP,99366240256,large-cap
ADSK,45531811840,large-cap
ADT,5917431296,mid-cap
ADTN,346527200,small-cap
ADUS,1574004352,small-cap
ADVM,201737632,micro-cap
ADXS,28324944,micro-cap
AE,75716176,micro-cap
AEE,19687168000,large-cap
AEHR,346398080,small-cap
AEIS,3583965440,mid-cap
AEL,4455134208,mid-cap
AEMD,3629013,micro-cap
AEO,4783028736,mid-cap
AEP,45302538240,large-cap
AES,12723463168,large-cap
AFG,10712782848,large-cap
AFL,48132878336,large-cap
AGCO,8520629760,mid-cap
AGE,27758326,micro-cap
AGEN,253865520,small-cap
AGIO,1845122560,small-cap
AGM,1958292352,small-cap
AGNC,6590745088,mid-cap
AGO,4258153728,mid-cap
AGR,14133675008,large-cap
AGRX,3051022,micro-cap
AGS,346726912,small-cap
AGX,797848384,small-cap
AGYS,2272563712,mid-cap
AHH,932252992,small-cap
AHT,50527384,micro-cap
AIG,50761347072,large-cap
AIN,2491102976,mid-cap
AINC,16606428,micro-cap
AIR,2449429760,mid-cap
AIRG,55044100,micro-cap
AIRI,23539126,micro-cap
AIRT,72851128,micro-cap
AIT,7073926656,mid-cap
AIV,1158496000,small-cap
AIZ,9077851136,mid-cap
AJG,51283521536,large-cap
AJX,127611360,micro-cap
AKAM,15463586816,large-cap
