Ticker,2023_PE
A,22.465572
AA,15.480176
AAL,4.2087226
AAME,
AAN,10.161764
AAOI,11.321839
AAON,32.112625
AAP,16.400002
AAPL,23.8892
AAT,29.246574
ABBV,13.463576
ABCB,9.709612
ABEO,-2.1789472
ABG,6.740622
ABIO,-0.3965909
ABM,12.071824
ABMD,60.768738
ABR,7.502924
ABT,20.616732
AC,12.544403
ACA,19.392857
ACAD,13.261904
ACCO,3.8560002
ACGL,10.838934
ACHC,18.347395
ACHV,-4.8777776
ACIW,19.941519
ACLS,12.294537
ACM,18.252964
ACMR,13.794595
ACN,22.935213
ACNB,9.244319
ACOR,-0.6885417
ACRE,8.594936
ACRS,-1.4756098
ACTG,8.396552
ACU,15.795367
ADBE,22.721157
ADC,30.763441
ADI,26.50066
ADM,10.291228
ADMA,13.04
ADNT,7.5620255
ADP,24.189
ADSK,23.364437
ADT,7.6470585
ADTN,11.526317
ADUS,18.279467
ADVM,-1.7900554
ADXS,-0.9109589
AE,-92.1875
AEE,15.07551
AEHR,22.603773
AEIS,16.610052
AEL,7.958865
AEMD,-0.5247148
AEO,12.569948
AEP,14.434564
AES,8.647343
AFG,10.690376
AFL,12.140784
AGCO,9.077106
AGE,
AGEN,-0.93880713
AGIO,-5.517827
AGM,10.126769
AGNC,4.5979896
AGO,11.362963
AGR,15.157676
AGRX,0.40454543
AGS,18.040815
AGX,13.51121
AGYS,65.39371
AHH,-61.882355
AHT,-0.3046875
AIG,9.544993
AIN,16.93206
AINC,0.70863837
AIR,16.74092
AIRG,16.375
AIRI,-12.4561405
AIRT,
AIT,18.071991
AIV,-47.058823
AIZ,10.30124
AJG,20.714033
AJX,7.666667
AKAM,13.769441
AKBA,-3.9375
AKR,49.371433
AKTS,-1.7267648
AL,9.461394
ALB,13.517978
ALCO,59.38298
ALDX,-13.586207
ALE,14.235578
ALEC,-2.8700564
ALEX,21.96
ALG,14.516804
ALGN,25.977922
ALGT,6.6699266
ALIM,18.4
ALK,6.839428
ALKS,9.511628
ALL,10.03896
ALLE,16.01581
ALLK,-1.5
ALLO,-1.725
ALLY,7.1415267
ALNY,-81.78977
ALOT,49.34286
ALPN,-34.174603
ALRM,29.424778
ALSN,8.463752
ALT,-3.5405407
ALTM,14.193548
ALTR,56.65493
ALV,9.990826
ALX,16.261337
AM,14.122449
AMAL,7.5045877
AMAT,20.779287
AMBC,41.285713
AMC,-3.6625001
AMCX,2.0344827
AMD,28.640144
AME,23.319094
AMED,18.373253
AMG,6.3096204
AMGN,13.044762
AMH,51.884056
AMKR,13.88412
AMN,13.124726
AMNB,19.899998
AMP,10.793971
AMPE,-2.7888887
AMPH,9.63785
AMRC,10.361386
AMRK,7.4341373
AMRX,9.166667
AMS,7.24881
AMSC,308.75003
AMSF,18.92116
AMSWA,26.605263
AMT,23.278154
AMTD,
AMTX,-7.8
AMWD,10.118681
AMZN,33.081287
AN,8.04945
ANAB,-4.083893
ANDE,14.159793
ANET,29.832556
ANF,15.021013
ANGI,35.166664
ANGO,-11.816326
ANIK,63.14634
ANIP,13.173652
ANIX,-6.6000004
ANSS,30.334267
AON,16.068947
AOS,18.999998
AOSL,27.000002
AP,8.913043
APA,5.8656716
APAM,11.369445
APD,17.597914
APDN,-0.37735847
APEI,14.40625
APH,31.615183
APLE,17.57143
APLS,40.916664
APOG,12.685832
APPF,43.611538
APPN,-288.0
APPS,4.2444444
APT,5.1465516
APTV,9.916202
APVO,-0.08806691
APYX,-2.0428572
AQB,-0.61935484
AQMS,-6.7000003
AR,12.367272
ARAY,16.384617
ARC,8.250001
ARCB,8.76759
ARCH,6.9793406
ARDX,160.0
ARE,30.412075
ARES,21.64065
ARI,7.766129
ARKR,
ARL,
ARLO,21.344828
ARMK,16.242268
AROC,16.262712
AROW,8.403773
ARR,4.265258
ARTNA,16.657143
ARTW,
ARVN,-5.70377
ARW,7.989362
ARWR,-8.503759
ASB,8.890296
ASGN,16.048252
ASH,16.695272
ASIX,6.072116
ASMB,-0.7912437
ASPN,23.727272
ASPS,-6.419355
ASRT,Infinity
ASRV,
ASTC,-13.455882
ASTE,13.483871
ASUR,10.263888
ASYS,24.1
ATEC,-16.605263
ATEN,15.011495
ATGE,9.61628
ATI,19.966555
ATKR,9.738889
ATLC,4.191759
ATLO,
ATNI,63.6
ATNM,-70.0
ATO,16.699717
ATOS,-5.0333333
ATR,24.893103
ATRA,-1.5
ATRC,-42.315792
ATRI,
ATRO,14.582609
ATSG,12.82
ATUS,7.423077
AUBN,
AUMN,-1.2056098
AVA,13.945737
AVAV,46.859234
AVB,34.847427
AVD,11.39
AVGO,22.811754
AVGR,-0.42988506
AVNS,9.772973
AVNW,8.040866
AVRO,-3.6060607
AVT,8.227272
AVTR,19.699186
AVXL,-5.7031255
AVY,20.614801
AWI,17.783281
AWK,21.535212
AWR,21.59756
AWRE,-15.076924
AX,7.2715516
AXDX,-0.454433
AXGN,37.70588
AXL,13.849057
AXNX,79.25
AXP,15.685657
AXR,
AXS,5.807765
AXSM,59.96748
AXTA,14.623256
AXTI,16.666666
AYI,14.966847
AYX,28.222221
