Ticker,2020_NI,2021_NI,2022_NI,2023_NI,2020_2021_NI_Grow,2021_2022_NI_Grow,2022_2023_NI_Grow
A,719000000.0,1210000000.0,1254000000.0,1240000000.0,491000000.0,44000000.0,-14000000.0
AA,-170000000.0,429000000.0,-123000000.0,-651000000.0,599000000.0,-552000000.0,-528000000.0
AAL,-8885000000.0,-1993000000.0,127000000.0,822000000.0,6892000000.0,2120000000.0,695000000.0
AAME,12169000.0,4281000.0,1525000.0,,-7888000.0,-2756000.0,
AAN,-265912000.0,109934000.0,-5280000.0,2823000.0,375846000.0,-115214000.0,8103000.0
AAOI,-58452000.0,-54162000.0,-66397000.0,-56048000.0,4290000.0,-12235000.0,10349000.0
AAON,79009000.0,58758000.0,100376000.0,177623000.0,-20251000.0,41618000.0,77247000.0
AAP,493021000.0,596615000.0,464402000.0,29735000.0,103594000.0,-132213000.0,-434667000.0
AAPL,57411000000.0,94680000000.0,99803000000.0,96995000000.0,37269000000.0,5123000000.0,-2808000000.0
AAT,35588000.0,36593000.0,55877000.0,64690000.0,1005000.0,19284000.0,8813000.0
ABBV,4616000000.0,11542000000.0,11836000000.0,4863000000.0,6926000000.0,294000000.0,-6973000000.0
ABCB,261988000.0,376913000.0,346540000.0,269105000.0,114925000.0,-30373000.0,-77435000.0
ABEO,-84234000.0,-84936000.0,-39696000.0,-54188000.0,-702000.0,45240000.0,-14492000.0
ABG,254400000.0,532400000.0,997300000.0,602500000.0,278000000.0,464900000.0,-394800000.0
ABIO,-9738000.0,-19322000.0,-9926000.0,-5339000.0,-9584000.0,9396000.0,4587000.0
ABM,300000.0,126300000.0,230400000.0,251300000.0,126000000.0,104100000.0,20900000.0
ABMD,,225525000.0,136505000.0,,,-89020000.0,
ABR,170949000.0,339300000.0,325783000.0,371434000.0,168351000.0,-13517000.0,45651000.0
ABT,4495000000.0,7071000000.0,6933000000.0,5723000000.0,2576000000.0,-138000000.0,-1210000000.0
AC,18816000.0,59203000.0,-48907000.0,37451000.0,40387000.0,-108110000.0,86358000.0
ACA,106600000.0,69600000.0,245800000.0,159200000.0,-37000000.0,176200000.0,-86600000.0
ACAD,-281584000.0,-167870000.0,-215975000.0,-61286000.0,113714000.0,-48105000.0,154689000.0
ACCO,62000000.0,101900000.0,-13200000.0,-21800000.0,39900000.0,-115100000.0,-8600000.0
ACGL,1405521000.0,2157000000.0,1476000000.0,4443000000.0,751479000.0,-681000000.0,2967000000.0
ACHC,-672132000.0,190635000.0,273139000.0,-21667000.0,862767000.0,82504000.0,-294806000.0
ACHV,-14730000.0,-33152000.0,-42350000.0,-29815000.0,-18422000.0,-9198000.0,12535000.0
ACIW,72660000.0,127791000.0,142177000.0,121509000.0,55131000.0,14386000.0,-20668000.0
ACLS,49982000.0,98650000.0,183079000.0,246263000.0,48668000.0,84429000.0,63184000.0
