Ticker,2023_PE
A,22.461475
AA,15.475772
AAL,4.2087226
AAME,
AAN,10.132353
AAOI,11.321839
AAON,32.112625
AAP,16.397755
AAPL,23.8892
AAT,29.232876
ABBV,13.465232
ABCB,9.709612
ABEO,-2.1789472
ABG,6.740622
ABIO,-0.3965909
ABM,12.06906
ABMD,60.768738
ABR,7.4999995
ABT,20.616732
AC,12.451737
ACA,19.390306
ACAD,13.261904
ACCO,3.8560002
ACGL,10.838934
ACHC,18.347395
ACHV,-4.8777776
ACIW,19.941519
ACLS,12.294537
ACM,18.24921
ACMR,13.794595
ACN,22.939024
ACNB,9.244319
ACOR,-0.6885417
ACRE,8.606329
ACRS,-1.4756098
ACTG,8.396552
ACU,15.640926
ADBE,22.721157
ADC,30.768816
ADI,26.50066
ADM,10.292982
ADMA,13.04
ADNT,7.5594935
ADP,24.189
ADSK,23.364437
ADT,7.6470585
ADTN,11.526317
ADUS,18.279467
ADVM,-1.7900554
ADXS,-0.9109589
AE,-92.1875
AEE,15.067347
AEHR,22.603773
AEIS,16.610052
AEL,7.965957
AEMD,-0.5285551
AEO,12.572539
AEP,14.434564
AES,8.649759
AFG,10.690795
AFL,12.140058
AGCO,9.076312
AGE,
AGEN,-0.93880713
AGIO,-5.517827
AGM,10.130577
AGNC,4.5979896
AGO,11.36
AGR,15.15975
AGRX,0.40909088
AGS,18.061224
AGX,13.515695
AGYS,65.39371
AHH,-61.852943
AHT,-0.30729166
AIG,9.548796
AIN,16.940552
AINC,0.70863837
AIR,16.736078
AIRG,16.375
AIRI,-12.309474
AIRT,
AIT,18.080868
AIV,-47.11765
AIZ,10.3041935
AJG,20.711826
AJX,7.6511116
AKAM,13.769441
AKBA,-3.9375
AKR,49.400005
AKTS,-1.7267648
AL,9.462147
ALB,13.526967
ALCO,59.38298
ALDX,-13.586207
ALE,14.235578
ALEC,-2.8700564
ALEX,21.96
ALG,14.528006
ALGN,25.977922
ALGT,6.6699266
ALIM,18.4
ALK,6.839428
ALKS,9.511628
ALL,10.039256
ALLE,16.011858
ALLK,-1.5
ALLO,-1.725
ALLY,7.1405964
ALNY,-81.78977
ALOT,49.34286
ALPN,-34.174603
ALRM,29.424778
ALSN,8.464327
ALT,-3.5405407
ALTM,14.177419
ALTR,56.65493
ALV,9.99166
ALX,16.32206
AM,14.112245
AMAL,7.5045877
AMAT,20.779287
AMBC,41.37143
AMC,-3.671875
AMCX,2.0344827
AMD,28.640144
AME,23.319094
AMED,18.373253
AMG,6.3092155
AMGN,13.044762
AMH,51.884056
AMKR,13.88412
AMN,13.128008
AMNB,19.899998
AMP,10.798427
AMPE,-2.7888887
AMPH,9.63785
AMRC,10.356436
AMRK,7.4341373
AMRX,9.166667
AMS,7.24881
AMSC,308.75003
AMSF,18.92116
AMSWA,26.605263
AMT,23.280869
AMTD,
AMTX,-7.8
AMWD,10.118681
AMZN,33.081287
AN,8.048451
ANAB,-4.083893
ANDE,14.159793
ANET,29.82558
ANF,15.024722
ANGI,35.166664
ANGO,-11.816326
ANIK,63.14634
ANIP,13.173652
ANIX,-6.6000004
ANSS,30.334267
AON,16.065529
AOS,19.002293
AOSL,27.000002
AP,8.956521
APA,5.8656716
APAM,11.363889
APD,17.58898
APDN,-0.37823585
APEI,14.40625
APH,31.60733
APLE,17.57143
APLS,40.916664
APOG,12.685832
APPF,43.611538
APPN,-288.0
APPS,4.2444444
APT,5.1551723
APTV,9.913408
APVO,-0.08806691
APYX,-2.0285714
AQB,-0.61935484
AQMS,-6.7000003
AR,12.367272
ARAY,16.384617
ARC,8.281251
ARCB,8.76759
ARCH,6.9756045
ARDX,160.0
ARE,30.406824
ARES,21.630894
ARI,7.762097
ARKR,
ARL,
ARLO,21.37931
ARMK,16.247423
AROC,16.262712
AROW,8.403773
ARR,4.2640843
ARTNA,16.657143
ARTW,
ARVN,-5.70377
ARW,7.9906135
ARWR,-8.503759
ASB,8.886076
ASGN,16.046589
ASH,16.695272
ASIX,6.0651445
ASMB,-0.77347714
ASPN,23.727272
ASPS,-6.419355
ASRT,Infinity
ASRV,
ASTC,-13.455882
ASTE,13.483871
ASUR,10.263888
ASYS,24.1
ATEC,-16.605263
ATEN,15.011495
ATGE,9.619186
ATI,19.959866
ATKR,9.740001
ATLC,4.191759
ATLO,
ATNI,63.6
ATNM,-69.63636
ATO,16.692635
ATOS,-5.0333333
ATR,24.881033
ATRA,-1.5
ATRC,-42.315792
ATRI,
ATRO,14.582609
ATSG,12.82
ATUS,7.442308
AUBN,
AUMN,-1.2024391
AVA,13.937984
AVAV,46.859234
AVB,34.864887
AVD,11.396
AVGO,22.811754
AVGR,-0.40689656
AVNS,9.772973
AVNW,8.040866
AVRO,-3.6060607
AVT,8.227272
AVTR,19.699186
AVXL,-5.7031255
AVY,20.626186
AWI,17.772446
AWK,21.538733
AWR,21.59756
AWRE,-15.076924
AX,7.264368
AXDX,-0.48025772
AXGN,37.70588
AXL,13.858491
AXNX,79.25
AXP,15.692024
AXR,
AXS,5.8063445
AXSM,59.96748
AXTA,14.627907
AXTI,16.666666
AYI,14.961423
AYX,28.222221
AZO,17.721386
AZPN,27.042582
AZZ,12.662544
B,16.139534
BA,27.251623
BAC,10.396067
BAH,25.037289
BANC,6.7772274
BAND,11.446541
BANF,15.980287
BANR,8.778672
BATRA,-96.04762
BATRK,-155.95834
BAX,12.498451
BBCP,9.366198
BBGI,-4.857143
BBSI,14.144354
BBW,7.8515625
BBY,10.95387
BC,9.426402
BCBP,6.1168833
BCC,11.271953
BCLI,-1.3482143
BCO,8.889735
BCOV,-178.0
BCPC,29.639414
BCRX,-11.8
BDC,11.138355
BDL,
BDN,-13.803029
BDSI,8.873016
BDX,16.34216
BE,26.464287
BEAT,-3.4067798
BECN,11.799999
BELFA,12.280703
BELFB,10.504472
BEN,8.102838
BERY,6.824096
BFAM,26.250633
BFIN,11.376471
BFS,33.163635
BFST,7.7061076
BG,10.358961
BGFV,-23.599998
BGS,11.935484
BGSF,9.148936
BH,-26.395973
BHB,9.02518
BHE,12.372951
BHF,2.4270625
BHLB,8.7695465
BHR,-3.2559524
BHVN,-6.656947
BIG,-0.5301205
BIIB,12.374424
BIO,22.478333
BIOL,-1.3481818
BJ,17.324825
BJRI,21.872482
BK,9.306425
BKD,-11.74138
BKE,9.123171
BKH,13.315292
BKNG,16.836706
BKSC,
BKTI,4.158757
BKU,8.425867
BL,26.999998
BLBD,13.234941
BLCM,-0.07786459
BLD,17.76744
BLDR,12.625
BLFS,-38.97778
BLK,16.116568
BLKB,16.065979
BLMN,9.243728
BLUE,-0.5509938
BMI,39.763046
BMRC,9.385621
BMRN,30.590908
BMY,6.30703
BNED,-0.54783785
BOH,15.1066675
BOKF,10.48818
BOOM,6.6041665
BOOT,20.594776
BOTJ,
BOX,14.144021
BPMC,-32.856113
BPOP,7.649865
BPRN,8.701492
BPTH,-0.1537208
BR,22.641685
BRC,13.503432
BRID,
BRKL,8.137256
BRKR,23.011799
BRN,
BRO,21.235678
BRT,-36.551018
BRX,23.263159
BRY,8.40594
BSET,10.511277
BSGM,-1.2769231
BSRR,7.9919353
BSX,27.221588
BTU,8.122222
BURL,19.572361
BUSE,9.670996
BV,14.240506
BW,4.04
BWA,7.535632
BWEN,7.3103447
BWFG,6.5142045
BWXT,28.001461
BXC,10.184186
BXMT,9.225131
BXP,30.024271
BY,8.561265
BYD,8.146118
BYFC,
BYND,-3.5497384
BZH,5.177449
C,8.51807
CABO,9.396897
CAC,9.489362
CACC,12.173459
CACI,17.440157
CADE,9.90681
CAG,11.357934
CAH,13.076142
CAKE,10.06414
CAL,7.366
CALA,-0.014814815
CALM,24.161573
CALX,21.84252
CAMP,3.2828283
CAPR,52.7
CAR,5.5558786
CARA,-0.73715687
CARG,14.490322
CARS,24.588234
CASA,-0.175
CASH,7.418262
CASI,6.9235296
CASS,14.207236
CASY,22.90896
CAT,14.712401
CATC,9.8192
CATO,3.7115386
CATY,8.298795
CB,10.532401
CBAN,6.967949
CBAY,-30.933334
CBFV,9.741228
CBOE,20.169453
CBRE,15.629497
CBRL,11.5
CBSH,15.712644
CBT,12.019763
CBU,12.408046
CBZ,22.974195
CC,7.096817
CCBG,9.539569
CCI,36.49222
CCK,12.120384
CCL,10.370629
CCNE,8.016878
CCO,-10.0
CCOI,-20.570513
CCRN,14.789916
CCS,6.800172
CDE,16.160715
CDLX,30.625
CDMO,-84.77778
CDNA,-16.869566
CDNS,39.88857
CDTX,-9.007518
CDW,20.976583
CDXC,70.799995
CDXS,-4.279412
CDZI,-12.0
CE,11.027996
CEI,
CEIX,6.0958
CELC,-4.6519175
CELH,46.27922
CENT,16.646341
CENTA,14.949368
CENX,18.457447
CERS,-27.833334
CETX,2.0727272
CEVA,40.54
CF,13.231156
CFBK,8.324324
CFFI,
CFFN,9.734694
CFG,8.443069
CFR,12.403091
CGNX,34.907562
CHCI,
CHCO,13.669824
CHCT,29.455557
CHD,28.852942
CHDN,16.796875
CHE,22.359592
CHEF,20.29448
CHGG,4.452586
CHH,17.142029
CHK,12.346153
CHMG,7.9257517
CHMI,3.7173913
CHRS,49.000004
CHRW,18.205128
CHTR,7.4142528
CHUY,13.896227
CI,11.149235
CIA,
CIEN,14.6746025
CIM,6.6370964
CINF,16.456614
CIO,-9.520408
CIVB,6.9658537
CIX,19.596273
CIZN,
CKX,
CL,24.0
CLAR,22.607143
CLB,12.85813
CLDT,-919.5
CLDX,-12.110032
CLF,10.487577
CLFD,301.2
CLH,21.182327
CLIR,26.336666
CLNE,46.399998
CLPR,10.52475
CLRB,-1.0918728
CLRO,-1.3195714
CLW,9.337474
CLX,23.082811
CMA,8.202615
CMC,10.578741
CMCO,12.174041
CMCSA,8.487751
CMCT,6.194444
CME,21.006014
CMG,47.32081
CMI,13.472832
CMP,17.068493
CMRX,-0.9791667
CMS,16.836111
CMT,8.066964
CMTL,2.80597
CNA,8.325757
CNC,9.613816
CNDT,-18.529411
CNFR,-12.857142
CNK,10.325301
CNMD,12.367272
CNNE,-35.363636
CNO,7.6098266
CNOB,8.40845
CNP,16.75
CNS,20.887539
CNSL,-2.805195
CNTY,-13.5
CNX,13.072223
CNXN,16.096104
CODA,15.022728
COF,8.892126
COHN,
COHR,18.274248
COHU,17.52601
COKE,21.212122
COLB,7.2346153
COLD,56.333332
COLL,10.06267
COLM,18.221968
COMM,2.483333
CONN,18.578947
COO,22.546835
COOP,6.6897745
COP,13.012423
COR,16.319454
CORR,
CORT,18.21875
COST,41.49828
COTY,20.070175
CPB,14.151703
CPE,5.1901307
CPF,8.489363
CPHC,
CPIX,11.428572
CPK,16.956732
CPRI,8.212962
CPRT,33.524693
CPRX,10.598592
CPS,-10.611724
CPSH,
CPSI,4.994565
CPSS,10.313253
CPT,56.636364
CR,24.254766
CRAI,21.72006
CRBP,-7.2343755
CRC,7.971342
CRI,10.621119
CRIS,-2.998047
CRK,11.065933
CRL,18.42317
CRM,24.439089
CRMD,-58.38889
CRMT,14.906251
CRNX,-12.378531
CROX,9.219422
CRS,17.92887
CRUS,14.401626
CRVL,
CRVS,-2.012987
CRWS,6.6842103
CSCO,12.528
CSGP,71.50781
CSGS,10.909931
CSL,17.535473
CSPI,
CSTR,16.08
CSV,9.951363
CSWI,30.116604
CSX,15.238532
CTAS,39.996357
CTBI,9.702078
CTHR,-5.555
CTLT,36.723686
CTMX,-3.8809526
CTO,-34.04902
CTRE,22.071428
CTRN,178.66667
CTS,17.528736
CTSH,13.162325
CTSO,-4.0499997
CUBE,22.472223
CUBI,6.1940303
CUE,-1.9
CULP,-22.75
CURO,-0.13461539
CUTR,-0.73333335
CUZ,41.699997
CVBF,10.893333
CVCO,16.223162
CVCY,7.3940516
CVGI,5.181035
CVGW,17.387098
CVI,12.493827
CVLT,31.92212
CVLY,11.1
CVM,-2.9591837
CVNA,-34.268593
CVR,
CVS,7.409737
CVU,6.7692313
CVV,10.853658
CVX,11.27972
CW,22.852118
CWBC,6.4067163
CWBR,-0.21938775
CWEN,
CWH,9.521127
CWST,73.49593
CWT,20.72152
CXW,17.32558
CYAN,
CYCC,-0.0869922
CYH,14.413043
CYRX,-16.19
CYTK,-18.638298
CZNC,9.6875
CZR,15.242554
CZWI,7.801419
D,14.992646
DAIO,9.499999
DAKT,11.8125
DAL,6.8717422
DAN,8.184211
DAR,9.855814
DARE,-3.8437502
DBD,6.7492533
DBI,8.513761
DBX,10.672811
DCI,19.887053
DCO,14.721467
DCOM,6.642336
DCPH,-15.99367
DD,17.378897
DDD,Infinity
DDS,14.112434
DE,14.246087
DEA,46.74
DECK,26.952553
DEI,-19.055555
DELL,14.552569
DENN,10.837838
DFIN,16.219639
DFS,9.686927
DG,16.843826
DGICA,12.0
DGII,13.506608
DGLY,-0.23237884
DGX,14.592397
DHI,9.234608
DHIL,
DHR,28.4406
DHX,10.217391
DIN,6.448918
DIOD,18.577608
DIS,20.09132
DIT,
DJCO,
DK,19.485716
DKS,13.997909
DLA,-3.219178
DLB,19.910255
DLHC,11.178947
DLR,110.08731
DLTH,-35.083336
DLTR,14.473684
DLX,5.8461537
DMRC,-19.757008
DNLI,-5.96139
DNOW,13.064814
DOC,32.64035
DOCU,16.125357
DOMO,-50.2
DOOR,13.35146
DORM,14.242671
DOV,18.01608
DOW,13.230232
DPZ,29.54099
DRH,19.358694
DRI,15.944906
DRQ,19.77174
DRRX,-0.7801626
DSKE,55.266663
DSS,-2.1621249
DTE,15.386332
DUK,15.526067
DVA,13.794643
DVAX,22.74
DVN,8.915505
DWSN,-3.1674
DX,116.7
DXC,5.5873923
DXCM,56.367256
DXLG,10.7
DXPE,12.251256
DXYN,2.2
DY,15.83258
DZSI,1.4628358
EA,16.752972
EAF,172.0
EARN,6.018182
EAT,13.068294
EB,-264.25
EBAY,10.2669325
EBF,14.114184
EBMT,7.7108436
EBS,0.51226157
EBTC,
ECL,31.019068
ECPG,4.6587305
ED,16.866072
EDIT,-1.9014598
EDUC,5.1428576
EE,15.924528
EEFT,10.673596
EEX,-72.0625
EFC,6.6511626
EFOI,-7.0495453
EFSC,8.56081
EFX,23.023012
EGAN,19.40625
EGBN,7.2795277
EGHT,4.9111114
EGLE,8.493894
EGP,31.707144
EGRX,1.1752874
EGY,6.731579
EHC,18.372248
EHTH,85.600006
EIG,11.599455
EIGR,-0.4791667
EIX,12.692858
EKSO,-5.166667
EL,34.13023
ELAN,12.4103775
ELF,46.316242
ELMD,28.783333
ELOX,-1.353662
ELS,32.424732
ELSE,
EME,20.623917
EMKR,-13.55
EML,
EMN,10.4656315
EMR,18.394197
ENG,7.0
ENPH,21.242188
ENR,8.229226
ENS,10.797136
ENSG,20.061016
ENSV,-3.601667
ENTA,-2.942184
ENTG,29.537777
ENV,19.71746
ENVA,6.3325315
ENZ,-2.6923077
EOG,10.818181
EOLS,73.56251
EPAM,19.708298
EPC,12.336065
EPM,10.18868
EPR,15.079925
EPRT,21.606558
EQBK,7.7465115
EQC,-187.2
EQH,5.1220527
EQIX,52.870632
EQR,39.268295
EQT,10.606138
ERIE,35.93052
ERII,22.923077
ES,12.602911
ESCA,6.357143
ESE,21.271488
ESGR,7.2592497
ESNT,7.515625
ESP,2525.0
ESPR,39.4
ESRT,75.916664
ESS,43.682625
ESSA,7.941177
ESTC,73.53957
ETN,27.843393
ETR,13.816063
ETRN,14.104167
ETSY,22.663366
EVBG,18.582888
EVBN,10.889362
EVC,-11.026316
EVER,-106.1579
EVFM,-0.025454545
EVH,16.52381
EVI,
EVOK,15.0
EVOL,
EVR,12.076463
EVRG,13.014888
EVRI,8.014707
EVTC,11.761755
EW,27.137821
EWBC,8.867857
EXAS,989.1667
EXC,14.343513
EXEL,15.959183
EXLS,15.760869
EXP,15.581987
EXPD,22.043564
EXPE,8.747889
EXPI,55.333332
EXPO,45.053925
EXPR,-0.12575758
EXR,27.758265
EXTR,13.493976
EYE,22.050632
EYPT,-6.1971836
EZPW,9.22689
F,6.2990155
FAF,10.224237
FANG,9.873834
FARM,-12.56
FARO,18.028847
FAST,29.411257
FATE,-2.1823206
FBIO,-0.3568376
FBIZ,6.347409
FBK,11.702875
FBMS,9.0
FBNC,10.745584
FBP,9.313513
FC,18.22897
FCAP,
FCBC,14.552632
FCCO,8.983696
FCEL,-3.7112
FCF,9.096551
FCFS,14.034782
FCN,22.457983
FCNCA,8.717106
FCPT,20.946428
FCX,22.808218
FDBC,
FDP,9.793103
FDS,23.806284
FDX,12.303101
FE,13.403847
FEIM,
FELE,20.396187
FET,8.737089
FF,6.7625
FFBC,9.2125
FFIC,9.666667
FFIN,19.070969
FFIV,11.9185295
FFNW,37.036366
FFWM,6.682927
FGBI,12.4777775
FGEN,-2.5454545
FHB,11.782124
FHN,8.937126
FI,15.10089
FIBK,10.308881
FICO,38.48368
FIS,12.785311
FISI,5.5728154
FITB,10.241573
FIVE,20.353268
FIVN,21.889732
FIX,22.384226
FIXX,-1.3352858
FIZZ,22.361809
FL,9.520548
FLIC,8.380531
FLL,16.451612
FLNT,24.642857
FLO,19.03817
FLR,12.725552
FLS,15.986441
FLT,13.448338
FLWS,23.25641
FLXS,10.806558
FMAO,11.647727
FMBH,9.325301
FMC,11.712301
FMNB,9.170543
FN,18.668823
FNB,8.665585
FNCB,
FND,41.32584
FNF,8.59375
FNKO,16.026316
FNLC,
FNWB,9.318182
FOLD,25.615385
FONR,
FOR,7.6167073
FORD,7.68
FORM,27.695652
FORR,10.7
FOSL,-0.6822807
FOX,12.204256
FOXA,8.203704
FOXF,10.056848
FPI,-268.75
FR,27.527271
FRBA,6.7126436
FRBK,0.02
FRD,
FRME,9.658958
FRPH,72.166664
FRPT,171.08064
FRT,32.77044
FSBW,6.8205686
FSFG,6.596708
FSLR,8.269231
FSLY,74.44118
FSP,-5.8125
FSS,24.341318
FSTR,13.922156
FTDR,11.803846
FTEK,Infinity
FTI,14.551137
FTK,6.4074073
FTNT,32.56701
FTV,18.043165
FUL,15.150103
FULT,10.474683
FUNC,7.171428
FUSB,
FWONA,45.123188
FWONK,50.7029
FWRD,14.582782
G,9.343465
GABC,12.064638
GAIA,389.00003
GALT,-2.2075472
GATX,15.317043
GBCI,15.658009
GBLI,9.284023
GBX,11.080717
GCBC,
GCI,10.083334
GCO,11.759258
GD,17.5913
GDDY,19.368671
GDEN,19.78395
GDOT,4.8342543
GE,32.35
GEF,11.754319
GEN,9.072072
GENC,5.5048547
GEO,10.8394165
GEOS,30.374998
GERN,-26.199999
GES,8.371875
GEVO,-1.6892308
GFF,11.950729
GGG,24.366262
GH,-6.185567
GHC,16.06112
GHM,71.24359
GIFI,345.0
GIII,7.9295774
GILD,9.06815
GIS,15.023454
GKOS,-75.59055
GLBZ,
GLDD,9.565217
GLPI,14.338926
GLRE,7.575
GLT,4.264706
GLW,15.311927
GLYC,-4.0
GM,4.6102486
GME,184.66667
GMED,15.132219
GMRE,270.66666
GMS,10.565068
GNE,33.23913
GNK,9.526786
GNL,-11.039682
GNRC,17.215189
GNTX,14.115226
GNTY,11.920834
GNW,6.5888886
GOGO,15.894738
GOLF,16.983288
GOOD,222.83334
GOOG,19.484024
GOOGL,19.263906
GORO,-4.547
GOSS,-1.0142857
GPC,14.636871
GPI,7.4177604
GPK,8.979167
GPMT,15.851852
GPN,9.329787
GPOR,5.4636583
GPRE,9.9375
GPRO,11.533333
GPS,12.993671
GRBK,7.3022943
GRC,17.667553
GRMN,23.961027
GROW,
GRPN,8.626865
GRTS,-0.8333334
GS,10.4271755
GSAT,-130.0
GSBC,10.447155
GSHD,27.1
GSIT,-7.1454544
GT,6.361702
GTES,10.550899
GTHX,-9.921053
GTIM,133.5
GTLS,10.122276
GTN,-10.849057
GTX,6.9781027
GTY,22.949154
GV,
GVA,11.0718565
GVP,-1.3257142
GWRE,64.18023
GWRS,36.0
GWW,21.373087
H,33.674206
HA,-8.246754
HAE,20.920454
HAFC,6.8609867
HAIN,13.347826
HAL,9.511421
HALL,
HALO,8.355263
HAS,14.630072
HASI,9.398496
HAYN,12.636555
HBAN,9.419581
HBB,12.675
HBCP,8.027523
HBI,7.1171875
HBIO,13.172414
HBNC,7.6026487
HCA,13.352586
HCC,12.230769
HCI,10.645522
HCKT,11.9175825
HCSG,12.206897
HD,20.28962
HDSN,7.936
HE,4.4570136
HEAR,11.102363
HEES,8.4719305
HEI,49.612442
HELE,9.009718
HES,14.677074
HFBL,
HFWA,9.589189
HGV,8.6369295
HHS,7.019802
HI,11.514493
HIBB,9.476922
HIFS,
HIG,8.455498
HII,14.643498
HIW,63.87805
HL,29.53125
HLF,3.4094489
HLI,22.479717
HLIT,11.548387
HLNE,24.99329
HLT,23.788902
HLX,13.097561
HMN,9.646597
HMNF,
HMST,13.172043
HNI,12.676737
HNRG,19.653847
HOFT,9.090909
HOG,7.1924686
HOLX,17.259682
HOMB,11.665025
HON,17.714153
HONE,12.20482
HOPE,7.6488557
HOV,205.52777
HP,10.084616
HPE,8.328431
HPP,-4.7581964
HPQ,7.739669
HQY,21.738293
HR,-34.707317
HRB,10.179957
HRI,9.041719
HRL,21.169643
HROW,17.271187
HRTG,5.762712
HRTX,-8.285714
HSIC,12.305506
HSII,8.987804
HSON,8.418367
HST,15.341464
HSTM,42.95
HSY,19.611729
HTBI,9.049296
HTBK,9.566265
HTH,17.721212
HTLD,18.754717
HTLF,8.736514
HUBB,21.043158
HUBG,14.313168
HUBS,71.94174
HUM,15.061846
HUN,14.728395
HURC,
HURN,13.833828
HUSA,
HVT,8.820917
HWBK,
HWC,9.005952
HWKN,20.702185
HXL,21.976027
HY,6.547592
HZO,6.9521127
IAC,-70.98508
IART,8.080333
IBCP,8.467576
IBIO,-0.70416665
IBKR,17.233534
IBM,15.9644575
IBOC,
IBP,18.240124
IBTX,9.475827
ICAD,-7.9444437
ICCC,-44.636364
ICD,-2.0444446
ICE,19.245142
ICFI,18.861437
ICHR,18.121494
ICUI,14.442477
IDA,16.422878
IDCC,21.651318
IDN,35.666664
IDT,23.726667
IDXG,-9.466666
IDXX,38.830578
IESC,
IEX,24.241758
IFF,20.302158
III,7.4888887
IIIN,9.607784
IIIV,12.342391
IIPR,17.815836
ILMN,50.43033
ILPT,-2.4444444
IMKTA,15.265958
IMMR,11.359375
IMXI,7.750958
INBK,7.840909
INCY,9.839319
INDB,10.007969
INFN,20.956522
INFU,18.775
INGN,-3.4693878
INGR,11.161635
INN,-33.36111
INO,-3.377581
INOD,-116.8
INPX,-0.06756411
INSE,8.018868
INSG,-4.2421055
INSM,-6.4712043
INSP,390.0484
INSW,5.517964
INTC,15.388888
INTG,
INTT,9.120968
INTU,33.18939
INUV,Infinity
INVA,15.418366
INVE,-63.0
INVH,44.42208
IONS,-13.015772
IOR,
IOSP,16.23816
IOVA,-16.591549
IP,12.4875
IPAR,20.169844
IPG,10.112957
IPGP,18.13823
IPI,-42.765957
IPWR,-6.7913046
IQV,18.47012
IR,26.361582
IRBT,-6.0281696
IRDM,31.418367
IRIX,-9.827586
IRM,36.233643
IRMD,23.748537
IROQ,
IRT,52.616665
IRTC,-64.08187
IRWD,9.567902
ISDR,10.717592
ISRG,50.424488
ISSC,14.086956
ISTR,8.732985
IT,31.89181
ITCI,66.49074
ITGR,18.503315
ITI,21.333334
ITIC,
ITRI,21.12844
ITT,19.788668
ITW,22.289042
IVAC,-12.441176
IVR,2.2207794
IVZ,7.6594596
IZEA,18.533333
JACK,7.9706707
JAGX,-0.41288462
JAKK,4.428571
JAZZ,5.2738094
JBGS,-8.940476
JBHT,19.193624
JBL,11.17238
JBLU,-71.0
JBSS,20.945377
JBT,15.698944
JCI,15.8272505
JCTCF,
JEF,10.479319
JELD,10.004878
JHG,10.69178
JILL,6.8512397
JJSF,23.308998
JKHY,28.542107
JLL,11.760912
JNJ,13.147272
JNPR,15.475555
JOB,3.141
JOE,519.7727
JOUT,11.717142
JPM,11.648111
JRVR,4.582474
JVA,4.0499997
JWN,9.452736
JYNT,30.615385
K,15.188976
KAI,24.915224
KALA,-0.5930435
KALU,12.017263
KALV,-4.748954
KAMN,45.99
KAR,17.17
KBH,7.7568855
KBR,16.653845
KDP,16.280193
KE,9.780374
KELYA,9.176001
KEQU,16.527777
KEX,16.73773
KEY,8.877301
KEYS,20.133333
KFFB,
KFRC,16.69189
KFY,13.036481
KHC,12.028037
KIDS,-28.76699
KIM,24.833334
KINS,-10.714286
KIRK,-1.6186441
KKR,15.358086
KLAC,24.253695
KLIC,16.647482
KLXE,7.0531917
KMB,18.109417
KMI,14.632001
KMPR,10.880597
KMT,14.257576
KMX,18.268816
KN,12.184616
KNSA,34.03636
KNSL,20.787758
KNX,16.6259
KO,20.586666
KOD,-0.722973
KODK,
KOP,9.754753
KOPN,78.600006
KOS,5.3584905
KPTI,-1.019802
KR,12.171429
KRC,21.528662
KREF,7.4015746
KRG,90.916664
KRNY,11.020408
KRO,15.459458
KRYS,36.28436
KSS,9.064394
KTCC,
KTOS,33.622643
KURA,-7.97561
KVHI,32.0
KW,-7.54386
KWR,18.307844
KZR,-0.6596
L,25.910343
LAD,6.858798
LADR,8.014925
LAKE,8.401014
LAMR,20.396128
LANC,27.573698
LAND,-43.72414
LARK,
LASR,-49.52174
LAUR,9.477124
LAZ,9.192123
LBAI,7.6187496
LBC,38.125
LBRDA,5.8700237
LBRDK,6.5262465
LBRT,6.751534
LBTYA,-9.135057
LBTYK,-3.3683128
LC,10.162162
LCII,14.429167
LCNB,9.096775
LCUT,9.934783
LDOS,16.215029
LE,38.0
LEA,7.061133
LECO,20.927551
LEE,6.5851064
LEG,13.693182
LEGH,10.554405
LEN,9.281518
LEU,15.480287
LEVI,14.5342455
LFUS,19.22
LFVN,8.814286
LGIH,7.614733
LGL,24.782608
LGND,12.480357
LH,12.617555
LIFE,-1.6526316
LII,20.61944
LILA,9.4375
LILAK,25.133331
LIN,25.726955
LINC,15.67647
LIND,-61.166668
LIQT,-4.661017
LITE,18.386553
LIVE,3.4053335
LIVN,16.79217
LKFN,16.601696
LKQ,9.892201
LL,-1.0463576
LLY,42.940075
LMAT,35.217392
LMFA,-0.40835
LMNR,47.09524
LMT,16.633047
LNC,3.5747051
LNG,16.257467
LNN,20.85663
LNT,15.229358
LNTH,9.976012
LOAN,10.315306
LOB,11.471631
LOCO,12.17143
LODE,-1.6329411
LOOP,-20.285713
LOPE,15.242674
LOVE,11.09
LOW,16.945724
LPCN,-8.105263
LPG,8.960955
LPLA,13.801538
LPSN,-0.65051943
LPTH,-15.777777
LPX,14.458499
LQDA,-37.794117
LQDT,13.919355
LRCX,24.755327
LRN,13.622449
LSBK,
LSCC,38.324024
LSTR,21.965996
LSXMA,9.079245
LSXMK,15.522581
LTBR,
LTC,17.595745
LTRPA,-3.9512196
LTRX,7.8333335
LULU,22.765152
LUNA,6.645161
LUV,12.905473
LVS,14.355988
LW,13.3392
LWAY,16.762295
LXP,Infinity
LXRX,-2.3333333
LXU,26.57143
LYB,10.211951
LYFT,18.61905
LYTS,13.773586
LYV,40.063065
LZB,11.053872
M,6.9810605
MA,26.913185
MAA,30.530514
MAC,-137.7
MACK,-8.280899
MAN,11.5145035
MANH,46.619907
MAR,21.986034
MARA,43.405403
MARK,-1.2
MAS,15.000001
MASI,34.375957
MAT,11.896104
MATW,9.955719
MATX,12.526744
MAYS,
MBCN,12.482557
MBI,-9.543636
MBIN,7.087874
